,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,6:00 AM QF7332,,Brisbane (BNE),Qantas Freight B733 (VH-XMB),Landed 6:32 AM,2021-06-11
1,1,7:05 AM VA9585,,Brisbane (BNE),Virgin Australia 14Y,Unknown,2021-06-11
2,2,7:40 AM,QF2355,Cairns (CNS),Qantas DH4,Unknown,2021-06-11
3,3,7:45 AM ZL5417,,Cairns (CNS),REX Regional Express SF34 (VH-ZLV),Landed 7:28 AM,2021-06-11
4,4,8:23 AM OI703,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
5,5,8:25 AM,QF750,Brisbane (BNE),Qantas B738 (VH-VYL),Landed 8:24 AM,2021-06-11
6,6,8:45 AM,VA361,Brisbane (BNE),Virgin Australia B738 (VH-VUL),Landed 8:35 AM,2021-06-11
7,7,8:53 AM OI709,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
8,8,9:23 AM OI707,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
9,9,10:23 AM OI711,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
10,10,10:50 AM,VA367,Brisbane (BNE),Virgin Australia B738 (VH-YIE),Landed 10:56 AM,2021-06-11
11,11,11:05 AM QF2469,,Mount Isa (ISA),Qantas DH4,Unknown,2021-06-11
12,12,11:45 AM,JQ828,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 11:38 AM,2021-06-11
13,13,11:55 AM,QF752,Brisbane (BNE),Qantas B738 (VH-VYD),Landed 11:51 AM,2021-06-11
14,14,12:25 PM QF2354,,Mackay (MKY),QantasLink DH8D (VH-QOX),Landed 12:15 PM,2021-06-11
15,15,12:53 PM OI713,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
16,16,2:05 PM,JQ912,Sydney (SYD),Jetstar Airways A320 (VH-VQW),Landed 2:04 PM,2021-06-11
17,17,2:10 PM,QF2359,Cairns (CNS),QantasLink DH8D (VH-QOA),Landed 2:09 PM,2021-06-11
18,18,2:53 PM OI715,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
19,19,3:23 PM OI717,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
20,20,3:50 PM,QF2357,Cairns (CNS),Qantas DH4,Unknown,2021-06-11
21,21,3:53 PM OI719,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
22,22,4:00 PM ZL5268,,Hughenden (HGD),REX Regional Express SF34 (VH-ZLC),Landed 3:53 PM,2021-06-11
23,23,4:20 PM,VA375,Brisbane (BNE),Virgin Australia B738 (VH-YIE),Landed 4:22 PM,2021-06-11
24,24,4:23 PM OI721,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
25,25,4:40 PM,TL180,Darwin (DRW),Airnorth E170 (VH-ANO),Landed 4:26 PM,2021-06-11
26,26,5:10 PM ZL5441,,Cairns (CNS),REX Regional Express SF34 (VH-ZRE),Landed 5:01 PM,2021-06-11
27,27,5:15 PM,QF756,Brisbane (BNE),Qantas B738 (VH-VZO),Landed 5:10 PM,2021-06-11
28,28,5:23 PM OI725,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-11
29,29,5:50 PM QF2358,,Mackay (MKY),QantasLink DH8D (VH-LQB),Landed 5:53 PM,2021-06-11
30,30,6:40 PM,QF2353,Cairns (CNS),QantasLink DH8D (VH-LQG),Landed 6:36 PM,2021-06-11
31,31,7:30 PM,JQ916,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
32,32,7:35 PM QF2475,,Mount Isa (ISA),QantasLink DH8D (VH-QOA),Landed 7:47 PM,2021-06-11
33,33,9:20 PM,JQ906,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 9:52 PM,2021-06-11
34,34,9:50 PM,QF760,Brisbane (BNE),Qantas B738 (VH-VYE),Landed 10:19 PM,2021-06-11
35,35,9:55 PM,VA383,Brisbane (BNE),Virgin Australia B738 (VH-YIE),Landed 9:41 PM,2021-06-11
0,0,07:40,QF2355,Cairns (CNS),Qantas DH4,Unknown,2021-06-12
1,1,08:53 OI709,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-12
2,2,10:35,TL181,Gold Coast (OOL),Airnorth E170 (VH-ANO),Landed 10:29,2021-06-12
3,3,11:45,JQ828,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 11:46,2021-06-12
4,4,11:55,QF752,Brisbane (BNE),Qantas B738 (VH-VXL),Landed 11:51,2021-06-12
5,5,12:20,VA369,Brisbane (BNE),Virgin Australia B738 (VH-YIH),Landed 12:23,2021-06-12
6,6,12:25 QF2354,,Mackay (MKY),QantasLink DH8D (VH-QOC),Landed 12:13,2021-06-12
7,7,14:05,JQ912,Sydney (SYD),Jetstar Airways A320 (VH-VFD),Landed 14:11,2021-06-12
8,8,15:50,QF2357,Cairns (CNS),Qantas DH4,Unknown,2021-06-12
9,9,16:20,VA375,Brisbane (BNE),Virgin Australia B737 (VH-VBY),Landed 16:14,2021-06-12
10,10,17:15,QF756,Brisbane (BNE),Qantas B738 (VH-VXL),Landed 17:08,2021-06-12
11,11,18:05,TL183,Toowoomba (WTB),Airnorth E170 (VH-ANV),Landed 17:52,2021-06-12
12,12,21:20,JQ906,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 21:54,2021-06-12
0,0,08:25,QF750,Brisbane (BNE),Qantas B738 (VH-VYE),Landed 08:15,2021-06-13
1,1,11:45,JQ828,Brisbane (BNE),Jetstar Airways A320 (VH-VFT),Landed 11:33,2021-06-13
2,2,11:55,QF752,Brisbane (BNE),Qantas B738 (VH-VXF),Landed 11:54,2021-06-13
3,3,12:05 QF2475,,Mount Isa (ISA),QantasLink DH8D (VH-QOC),Landed 13:05,2021-06-13
4,4,12:20,VA369,Brisbane (BNE),Virgin Australia B738 (VH-YIH),Landed 12:07,2021-06-13
5,5,13:55,QF2359,Cairns (CNS),QantasLink DH8D (VH-LQB),Landed 13:52,2021-06-13
6,6,14:05,JQ912,Sydney (SYD),Jetstar Airways A320 (VH-VFK),Landed 13:43,2021-06-13
7,7,15:10,TL182,Darwin (DRW),Airnorth E170 (VH-ANV),Landed 15:22,2021-06-13
8,8,15:50,QF2357,Cairns (CNS),Qantas DH4,Unknown,2021-06-13
9,9,16:20,VA375,Brisbane (BNE),Virgin Australia B737 (VH-VBY),Landed 16:13,2021-06-13
10,10,17:15,QF756,Brisbane (BNE),Qantas B738 (VH-VZE),Landed 17:15,2021-06-13
11,11,17:50 QF2358,,Mackay (MKY),QantasLink DH8D (VH-QOW),Landed 17:55,2021-06-13
12,12,18:40,QF2353,Cairns (CNS),QantasLink DH8D (VH-LQG),Landed 18:30,2021-06-13
13,13,19:30,JQ916,Melbourne (MEL),Jetstar Airways A320 (VH-VFY),Landed 19:15,2021-06-13
14,14,21:20,JQ906,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 21:14,2021-06-13
15,15,21:50,QF760,Brisbane (BNE),Qantas B738 (VH-VXF),Landed 21:46,2021-06-13
16,16,21:55,VA383,Brisbane (BNE),Virgin Australia B737 (VH-VBZ),Landed 21:34,2021-06-13
0,0,07:40,QF2355,Cairns (CNS),Qantas DH4,Unknown,2021-06-14
1,1,07:53 OI701,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-14
2,2,08:23 OI703,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-14
3,3,08:25,QF750,Brisbane (BNE),Qantas B738 (VH-VYE),Landed 09:25,2021-06-14
4,4,08:53 OI705,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-14
5,5,09:23 OI707,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-14
6,6,10:23 OI711,,Palm Island (PMK),Hinterland Aviation CNC,Unknown,2021-06-14
7,7,10:50,VA367,Brisbane (BNE),Virgin Australia B738 (VH-YIH),Landed 10:40,2021-06-14
8,8,11:45,JQ828,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 11:49,2021-06-14
9,9,11:50 QF2469,,Cloncurry (CNJ),Qantas DH4,Unknown,2021-06-14
10,10,11:55,QF752,Brisbane (BNE),Qantas B738 (VH-VYK),Landed 11:58,2021-06-14
11,11,12:20,VA369,Brisbane (BNE),Virgin Australia B738 (VH-VUE),Landed 12:19,2021-06-14
