,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,7:55 AM U25632,,Basel (BSL),easyJet A320 (HB-JXI),Landed 7:36 AM,2020-10-31
1,1,8:25 AM,EW2000,Stuttgart (STR),Eurowings A319 (D-AGWX),Landed 8:02 AM,2020-10-31
2,2,8:30 AM XQ694,,Dalaman (DLM),SunExpress B738 (TC-SOC),Landed 9:02 AM,2020-10-31
3,3,8:45 AM FB319,,Sofia (SOF),Bulgaria Air E90,Canceled,2020-10-31
4,4,9:05 AM,OS223,Vienna (VIE),Austrian Airlines E195 (OE-LWB),Landed 9:07 AM,2020-10-31
5,5,9:25 AM,KL1821,Amsterdam (AMS),KLM E75L (PH-EXJ),Landed 9:00 AM,2020-10-31
6,6,9:35 AM EW8041,,Dusseldorf (DUS),Eurowings A319 (OE-LYW),Landed 9:10 AM,2020-10-31
7,7,9:50 AM BT201,,Tallinn (TLL),Air Baltic BCS3 (YL-AAU),Landed 9:31 AM,2020-10-31
8,8,9:55 AM,LH176,Frankfurt (FRA),Lufthansa A20N (D-AIJA),Landed 9:50 AM,2020-10-31
9,9,10:05 AM,TK1721,Istanbul (IST),Turkish Airlines A21N (TC-LSE),Landed 9:48 AM,2020-10-31
10,10,10:10 AM,LH1934,Munich (MUC),Lufthansa A320 (D-AIWA),Landed 10:02 AM,2020-10-31
11,11,10:40 AM,BA992,London (LHR),British Airways A320 (G-EUYV),Landed 10:35 AM,2020-10-31
12,12,11:00 AM,SN2581,Brussels (BRU),Brussels Airlines A319 (OO-SSW),Landed 10:49 AM,2020-10-31
13,13,11:05 AM,KL1823,Amsterdam (AMS),KLM B737 (PH-BGN),Landed 10:52 AM,2020-10-31
14,14,11:10 AM,LX976,Zurich (ZRH),Swiss BCS3 (HB-JCC),Unknown,2020-10-31
15,15,11:20 AM,AF1734,Paris (CDG),Air France E170 (F-HBXN),Landed 11:06 AM,2020-10-31
16,16,11:30 AM LO385,,Warsaw (WAW),LOT DH8D (SP-EQF),Landed 11:04 AM,2020-10-31
17,17,11:40 AM,AY1433,Helsinki (HEL),Finnair E190 (OH-LKL),Landed 11:19 AM,2020-10-31
18,18,12:10 PM FI528,,Reykjavik (KEF),Icelandair B752 (TF-FIN),Canceled,2020-10-31
19,19,12:10 PM,LH1936,Munich (MUC),Lufthansa (Star Alliance Livery) A320 (D-AIUA),Landed 12:26 PM,2020-10-31
20,20,12:20 PM QR81,,Doha (DOH),Qatar Airways B788 (A7-BCQ),Landed 12:14 PM,2020-10-31
21,21,12:35 PM XQ160,,Antalya (AYT),SunExpress B738 (TC-SOV),Landed 12:24 PM,2020-10-31
22,22,12:45 PM TK7728,,Istanbul (SAW),Turkish Airlines B738 (TC-JFZ),Landed 12:44 PM,2020-10-31
23,23,12:55 PM U25802,,Palma de Mallorca (PMI),easyJet A320 (OE-IZO),Landed 12:30 PM,2020-10-31
24,24,1:10 PM EW8071,,Cologne (CGN),Eurowings A320 (OE-IEW),Landed 12:52 PM,2020-10-31
25,25,1:35 PM SR4467,,Heraklion (HER),Sundair A320 (D-ASGK),Landed 1:13 PM,2020-10-31
26,26,1:55 PM XQ946,,Izmir (ADB),SunExpress B738 (TC-SOD),Landed 1:51 PM,2020-10-31
27,27,2:10 PM EW6956,,Cologne (CGN),Eurowings A319 (D-AGWJ),Landed 2:15 PM,2020-10-31
28,28,2:20 PM,AF1234,Paris (CDG),Air France E190 (F-HBLK),Landed 2:13 PM,2020-10-31
29,29,2:55 PM,LH186,Frankfurt (FRA),Lufthansa A320 (D-AIWC),Landed 2:41 PM,2020-10-31
30,30,2:55 PM,TP536,Lisbon (LIS),TAP Express E190 (CS-TPS),Landed 2:29 PM,2020-10-31
31,31,3:10 PM,LH1940,Munich (MUC),Lufthansa A20N (D-AINW),Landed 3:03 PM,2020-10-31
32,32,3:35 PM,BA984,London (LHR),British Airways A319 (G-EUOE),Landed 3:10 PM,2020-10-31
33,33,5:05 PM U28123,,London (LGW),easyJet A319 (G-EZAI),Landed 4:26 PM,2020-10-31
34,34,5:25 PM TK1723,,Istanbul (IST),Turkish Airlines A321 (TC-JTM),Landed 5:36 PM,2020-10-31
35,35,5:40 PM,KL1831,Amsterdam (AMS),KLM E75L (PH-EXJ),Landed 5:25 PM,2020-10-31
36,36,6:05 PM EW5485,,Rome (FCO),Eurowings A319 (D-AGWL),Landed 5:44 PM,2020-10-31
37,37,6:40 PM,OS235,Vienna (VIE),Austrian Airlines DH8D (OE-LGA),Landed 6:37 PM,2020-10-31
38,38,6:50 PM,BA986,London (LHR),British Airways A320 (G-EUUB),Landed 6:32 PM,2020-10-31
39,39,6:55 PM,LH194,Frankfurt (FRA),Lufthansa E190 (D-AECA),Landed 6:41 PM,2020-10-31
40,40,7:00 PM EW5461,,Rome (FCO),Eurowings A319 (OE-LYW),Landed 6:45 PM,2020-10-31
