,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,1:00 AM UA1035,,Houston (IAH),United Airlines B738 (N87507),Landed 1:01 AM,2020-10-31
1,1,6:55 AM XL175,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
2,2,6:55 AM XL88,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
3,3,6:55 AM XL87,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
4,4,6:55 AM XL46,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
5,5,6:55 AM XL107,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
6,6,8:15 AM QT821,,Miami (MIA),Avianca Cargo 33F,Unknown,2020-10-31
7,7,8:50 AM 5Y5420,,Miami (MIA),Atlas Air B744 (N499MC),Landed 9:20 AM,2020-10-31
8,8,9:55 AM UX39,,Guayaquil (GYE),Air Europa B789 (EC-NFM),Landed 9:25 AM,2020-10-31
9,9,10:05 AM XL1366,,Guayaquil (GYE),LATAM Airlines A319 (CC-CPI),Landed 10:10 AM,2020-10-31
10,10,10:06 AM XL1400,,Cuenca (CUE),LATAM Airlines (Oneworld Livery) A319 (HC-CPJ),Landed 10:07 AM,2020-10-31
11,11,11:55 AM CM829,,Panama City (PTY),Copa Airlines B738 (HP-1538CMP),Landed 11:42 AM,2020-10-31
12,12,1:55 PM XL54,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
13,13,1:55 PM XL71,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
14,14,1:55 PM XL55,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-10-31
15,15,2:25 PM UC1407,,Miami (MIA),LATAM Cargo Chile B763,Canceled,2020-10-31
16,16,2:57 PM LA2438,,Lima (LIM),LATAM Airlines A319 (CC-CYL),Landed 2:49 PM,2020-10-31
17,17,3:00 PM MP7552,,Lima (LIM),Martinair Holland 74Y,Unknown,2020-10-31
18,18,3:30 PM QT825,,Bogota (BOG),Avianca Cargo 33F,Unknown,2020-10-31
19,19,3:50 PM MP7552,,Santiago (SCL),KLM Cargo B744 (PH-CKC),Landed 4:48 PM,2020-10-31
20,20,3:53 PM AV1637,,Guayaquil (GYE),Avianca (Star Alliance Livery) A320 (HC-CJW),Landed 3:31 PM,2020-10-31
21,21,4:34 PM AV1633,,Guayaquil (GYE),Avianca A320 (HC-CRU),Landed 4:13 PM,2020-10-31
22,22,5:24 PM XL1412,,Guayaquil (GYE),LATAM Airlines A319 (HC-CPY),Landed 5:28 PM,2020-10-31
23,23,7:23 PM M38498,,Caracas (CCS),LATAM Cargo Brasil 76V,Unknown,2020-10-31
24,24,8:00 PM 5Y58,,Campinas (VCP),Atlas Air B744 (N476MC),Landed 8:17 PM,2020-10-31
25,25,8:06 PM,XL1374,Guayaquil (GYE),LATAM Airlines (Oneworld Livery) A319 (HC-CPJ),Landed 8:09 PM,2020-10-31
26,26,11:39 PM AA2182,,Miami (MIA),American Airlines A319 (N8001N),Estimated 11:18 PM,2020-10-31
27,27,11:50 PM AM684,,Mexico City (MEX),Aeromexico B738 (N825AM),Estimated 11:39 PM,2020-10-31
0,0,12:30 AM 4L351,,Bogota (BOG),Palau National Airlines 72Y,Unknown,2020-11-01
1,1,12:45 AM AV8375,,Bogota (BOG),Avianca A319 (HC-CSB),Landed 12:16 AM,2020-11-01
2,2,3:45 AM ET3517,,Bogota (BOG),Ethiopian Airlines 77X,Unknown,2020-11-01
3,3,6:55 AM XL88,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
4,4,6:55 AM XL175,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
5,5,6:55 AM XL87,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
6,6,6:55 AM XL107,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
7,7,6:55 AM XL46,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
8,8,9:10 AM QR8151,,Mexico City (MEX),Qatar Cargo B77L (A7-BFI),Landed 8:58 AM,2020-11-01
9,9,10:48 AM P57033,,Bogota (BOG),Wingo 73G,Unknown,2020-11-01
10,10,10:55 AM EK9915,,Mexico City (MEX),Emirates SkyCargo B77L (A6-EFM),Landed 10:45 AM,2020-11-01
11,11,11:30 AM QT4037,,Bogota (BOG),Avianca Cargo 33X,Unknown,2020-11-01
12,12,12:09 PM XL1378,,Guayaquil (GYE),LATAM Airlines (Oneworld Livery) A319 (HC-CPJ),Landed 12:13 PM,2020-11-01
13,13,12:55 PM CM829,,Panama City (PTY),Copa Airlines B738 (HP-1856CMP),Landed 12:35 PM,2020-11-01
14,14,1:55 PM XL55,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
15,15,1:55 PM XL54,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
16,16,1:55 PM XL71,,Guayaquil (GYE),LATAM Ecuador 319,Unknown,2020-11-01
17,17,2:35 PM MP7762,,Lima (LIM),KLM Cargo B744 (PH-CKA),Landed 2:56 PM,2020-11-01
18,18,2:55 PM LA1454,,Lima (LIM),LATAM Airlines A319 (HC-CPZ),Landed 2:38 PM,2020-11-01
19,19,3:50 PM XL1410,,Guayaquil (GYE),LATAM Airlines A319 (HC-CPY),Landed 3:54 PM,2020-11-01
20,20,4:05 PM AV69,,Bogota (BOG),Avianca A319 (N751AV),Landed 3:47 PM,2020-11-01
21,21,4:15 PM KL755,,Amsterdam (AMS),KLM B772 (PH-BQE),Landed 4:12 PM,2020-11-01
22,22,5:20 PM MP7762,,Santiago (SCL),Martinair Holland 74Y,Unknown,2020-11-01
23,23,6:30 PM 4L353,,Bogota (BOG),Palau National Airlines 72F,Unknown,2020-11-01
24,24,7:00 PM QT602,,Lima (LIM),Avianca Cargo 33F,Unknown,2020-11-01
25,25,7:08 PM,XL1402,Cuenca (CUE),LATAM Airlines A319 (HC-CPZ),Landed 7:14 PM,2020-11-01
