,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,7:40 AM AR1784,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
1,1,9:55 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-14
3,3,2:15 PM AR1864,,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-14
4,4,4:30 PM AR1786,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-14
5,5,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-14
6,6,6:05 PM AR1880,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-14
7,7,7:50 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
0,0,9:10 AM AR1878,,Buenos Aires (AEP),Aerolineas Argentinas B738 (LV-GVA),Unknown,2020-10-15
1,1,10:10 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-15
3,3,12:35 PM AR1878,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVA),Landed 12:23 PM,2020-10-15
4,4,1:50 PM AR2894,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-15
5,5,2:55 PM AR2600,,Bahia Blanca (BHI),Aerolineas Argentinas E90,Canceled,2020-10-15
6,6,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-15
7,7,6:00 PM AR2860,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-15
8,8,7:10 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
0,0,7:40 AM AR1784,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
1,1,9:55 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-16
3,3,2:15 PM AR1864,,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-16
4,4,4:30 PM AR1786,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-16
5,5,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-16
6,6,6:05 PM AR1880,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-16
7,7,7:55 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
0,0,9:10 AM AR1878,,Buenos Aires (AEP),Aerolineas Argentinas 738,Unknown,2020-10-17
1,1,10:10 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-17
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-17
3,3,1:50 PM AR2894,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-17
4,4,2:15 PM AR1864,,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-17
5,5,2:55 PM AR2600,,Bahia Blanca (BHI),Aerolineas Argentinas E90,Canceled,2020-10-17
6,6,4:35 PM AR1854,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-17
7,7,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-17
8,8,6:05 PM AR1880,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-17
9,9,7:50 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-17
0,0,7:40 AM AR1784,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-18
1,1,9:35 AM AR1638,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-18
2,2,10:10 AM AR1896,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-18
3,3,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-18
4,4,4:30 PM AR1786,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-18
5,5,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-18
6,6,6:00 PM AR2860,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-18
7,7,7:50 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-18
0,0,7:40 AM AR1784,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-19
1,1,9:55 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-19
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-19
3,3,2:15 PM AR1864,,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-19
4,4,4:30 PM AR1786,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-19
5,5,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-19
6,6,6:05 PM AR1880,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-19
7,7,7:55 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-19
0,0,9:10 AM AR1878,,Buenos Aires (AEP),Aerolineas Argentinas 738,Unknown,2020-10-20
1,1,10:10 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-20
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-20
3,3,1:50 PM AR2894,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-20
4,4,2:55 PM AR2600,,Bahia Blanca (BHI),Aerolineas Argentinas E90,Canceled,2020-10-20
5,5,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-20
6,6,7:10 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-20
0,0,7:40 AM AR1784,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-21
1,1,9:55 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-21
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-21
3,3,2:15 PM AR1864,,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-21
4,4,4:30 PM AR1786,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-21
5,5,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-21
6,6,6:10 PM AR1880,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-21
7,7,7:50 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-21
0,0,9:10 AM AR1878,,Buenos Aires (AEP),Aerolineas Argentinas B738 (LV-GVA),Unknown,2020-10-22
1,1,10:10 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-22
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-22
3,3,12:35 PM AR1878,,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-GVA),Landed 1:26 PM,2020-10-22
4,4,1:50 PM AR2894,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-22
5,5,2:55 PM AR2600,,Bahia Blanca (BHI),Aerolineas Argentinas E90,Canceled,2020-10-22
6,6,5:15 PM AR1820,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-22
7,7,6:00 PM AR2860,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-22
8,8,7:10 PM AR1890,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-22
0,0,7:40 AM AR1784,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-23
1,1,9:55 AM AR1896,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-23
2,2,10:30 AM AR1870,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-23
