,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,14:11,B6881,New York (JFK),JetBlue Airways A21N (N2086J),Landed 14:12,2021-05-09
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N824DN),Landed 13:50,2021-05-09
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N141NN),Landed 14:17,2021-05-09
0,0,14:11 B6881,,New York (JFK),JetBlue Airways A21N (N2017J),Landed 14:02,2021-05-10
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N822DN),Landed 13:52,2021-05-10
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N143AN),Landed 14:29,2021-05-10
0,0,09:20 M68211,,Miami (MIA),Amerijet International DC8,Unknown,2021-05-11
1,1,14:11,B6881,New York (JFK),JetBlue Airways A21N (N2086J),Unknown,2021-05-11
2,2,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N819DN),Landed 13:48,2021-05-11
0,0,10:05 M68335,,Miami (MIA),Titan Airways A321 (G-DHJH),Landed 09:33,2021-05-12
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N824DN),Landed 13:49,2021-05-12
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N124AA),Landed 14:02,2021-05-12
3,3,14:39 AC7050,,Toronto (YYZ),Air Canada A320 (C-FGJI),Landed 14:56,2021-05-12
0,0,14:11 B6881,,New York (JFK),JetBlue Airways A21N (N2084J),Landed 14:04,2021-05-13
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N889DN),Landed 13:57,2021-05-13
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N147AA),Landed 14:22,2021-05-13
0,0,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N825DN),Landed 13:52,2021-05-14
1,1,14:20,AA2295,Miami (MIA),American Airlines A321 (N908AA),Landed 14:10,2021-05-14
0,0,1:09 PM B6363,,Boston (BOS),JetBlue Airways (NY Jets Livery) A320 (N746JB),Landed 1:29 PM,2021-05-15
1,1,1:45 PM LKF51,,Valparaiso (VPZ),- CJ8,Unknown,2021-05-15
2,2,2:12 PM,DL1970,Atlanta (ATL),Delta Air Lines B739 (N821DN),Landed 1:41 PM,2021-05-15
3,3,2:20 PM,AA2295,Miami (MIA),American Airlines A321 (N159AN),Landed 2:08 PM,2021-05-15
4,4,2:33 PM B6881,,New York (JFK),JetBlue Airways A21N (N2048J),Landed 2:34 PM,2021-05-15
5,5,2:49 PM AA823,,Charlotte (CLT),American Airlines B738 (N200NV),Landed 2:18 PM,2021-05-15
0,0,14:11 B6881,,New York (JFK),JetBlue Airways A21N (N2086J),Landed 14:46,2021-05-17
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N891DN),Landed 14:04,2021-05-17
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N988AL),Landed 14:16,2021-05-17
0,0,09:20 M68211,,Miami (MIA),Amerijet International DC8,Unknown,2021-05-18
1,1,14:11,B6881,New York (JFK),JetBlue Airways A321 (N977JE),Landed 13:43,2021-05-18
2,2,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N876DN),Landed 13:54,2021-05-18
3,3,14:20,AA2295,Miami (MIA),American Airlines A321 (N140AN),Landed 14:11,2021-05-18
0,0,10:05 M68335,,Miami (MIA),Titan Airways A321 (G-NIKO),Landed 10:52,2021-05-19
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N887DN),Landed 13:36,2021-05-19
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N900UW),Landed 14:04,2021-05-19
3,3,17:48,,Montego Bay (MBJ),- CL60 (N211QS),Landed 17:08,2021-05-19
0,0,14:11 B6881,,New York (JFK),JetBlue Airways A21N (N2047J),Landed 14:06,2021-05-20
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N803DN),Landed 13:59,2021-05-20
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N151AN),Landed 14:37,2021-05-20
0,0,13:50,BA2159,London (LGW),British Airways B772 (G-VIIR),Landed 14:13,2021-05-21
1,1,14:12,DL1970,Atlanta (ATL),Delta Air Lines B739 (N819DN),Landed 13:46,2021-05-21
2,2,14:20,AA2295,Miami (MIA),American Airlines A321 (N159AN),Landed 14:53,2021-05-21
