,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,01:15 LH8266,,Frankfurt (FRA),Lufthansa Cargo B77L (D-ALFH),Landed 01:23,2021-06-08
1,1,04:40 MP6911,,Amsterdam (AMS),KLM Cargo B744 (PH-CKB),Landed 04:43,2021-06-08
2,2,05:00 AD4446,,Teresina (THE),Azul Linhas Aereas A20N (PR-YYF),Landed 04:32,2021-06-08
3,3,05:05 AD4361,,Campo Grande (CGR),Azul Linhas Aereas E195 (PR-AYL),Unknown,2021-06-08
4,4,05:10 AD4341,,Cuiaba (CGB),Azul Linhas Aereas A21N (PR-YJD),Landed 04:48,2021-06-08
5,5,05:10 AD4639,,Juazeiro Do Norte (JDO),Azul Linhas Aereas E295 (PS-AEH),Landed 04:56,2021-06-08
6,6,05:15 AD4027,,Salvador (SSA),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 05:04,2021-06-08
7,7,05:15 AD4034,,Aracaju (AJU),Azul Linhas Aereas (Company Values Livery) E295 (PR-PJN),Landed 05:00,2021-06-08
8,8,05:15 AD4461,,Joao Pessoa (JPA),Azul Linhas Aereas A20N (PR-YRA),Landed 05:13,2021-06-08
9,9,05:20 AD4477,,Palmas (PMW),Azul Linhas Aereas E195 (PR-AXJ),Unknown,2021-06-08
10,10,05:25 AD4221,,Petrolina (PNZ),Azul Linhas Aereas E295 (PS-AEB),Landed 05:10,2021-06-08
11,11,05:30 AD4032,,Maceio (MCZ),Azul Linhas Aereas (Pink Ribbon Livery) E295 (PS-AEA),Landed 05:26,2021-06-08
12,12,06:20 AD4485,,Porto Velho (PVH),Azul Linhas Aereas A20N (PR-YRB),Landed 06:14,2021-06-08
13,13,06:25 AD4385,,Rondonopolis (ROO),Azul Linhas Aereas AT76 (PR-AQO),Landed 06:02,2021-06-08
14,14,06:30 AD4344,,Bauru (JTC),Azul Linhas Aereas AT76 (PR-AQP),Landed 06:05,2021-06-08
15,15,06:35 AD4299,,Marilia (MII),Azul Linhas Aereas AT76 (PR-AQK),Landed 06:20,2021-06-08
16,16,06:35 AD4589,,Presidente Prudente (PPB),Azul Linhas Aereas AT76 (PR-TKL),Landed 06:17,2021-06-08
17,17,06:40 AD4335,,Recife (REC),Azul Linhas Aereas A21N (PR-YJA),Landed 06:34,2021-06-08
18,18,06:40 AD4393,,Uberlandia (UDI),Azul Linhas Aereas AT76 (PR-AQR),Landed 06:27,2021-06-08
19,19,06:45 AD4327,,Goiania (GYN),Azul Linhas Aereas E295 (PS-AEG),Landed 06:39,2021-06-08
20,20,06:50 AD4509,,Aracatuba (ARU),Azul Linhas Aereas AT76 (PR-AQH),Landed 06:23,2021-06-08
