,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:35 VB4162,,Monterrey (MTY),VivaAerobus A320 (XA-VAB),Landed 07:12,2021-06-08
1,1,07:45 VB2102,,Cancun (CUN),VivaAerobus A20N (XA-VIT),Landed 07:28,2021-06-08
2,2,07:45 VB3044,,Guadalajara (GDL),Viva Aerobus A320 (XA-VAC),Landed 07:23,2021-06-08
3,3,09:20 7M30,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-08
4,4,10:25,AM852,Mexico City (MEX),Aeromexico Connect E190 (XA-GAD),Landed 10:22,2021-06-08
5,5,11:49,UA6361,Houston (IAH),United Express E75L (N87365),Landed 11:38,2021-06-08
6,6,15:05 YQ610,,Ciudad del Carmen (CME),TAR Aerolineas ERJ,Unknown,2021-06-08
7,7,15:29,AM856,Mexico City (MEX),Aeromexico Connect E190 (XA-ACK),Landed 15:32,2021-06-08
8,8,18:07,AM858,Mexico City (MEX),Aeromexico Connect E190 (XA-GAF),Landed 18:21,2021-06-08
9,9,19:40,AM860,Mexico City (MEX),Aeromexico Connect E190 (XA-AEI),Landed 19:23,2021-06-08
10,10,19:40,VW653,Mexico City (MEX),Aeromar AT72,Unknown,2021-06-08
11,11,22:05 VB4168,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 22:05,2021-06-08
12,12,22:45,AM862,Mexico City (MEX),Aeromexico Connect E190 (XA-GAK),Landed 22:47,2021-06-08
0,0,7:14 AM,AM850,Mexico City (MEX),Aeromexico Connect E190 (XA-GAG),Landed 7:03 AM,2021-06-09
1,1,7:35 AM VB4162,,Monterrey (MTY),VivaAerobus A20N (XA-VIR),Landed 7:13 AM,2021-06-09
2,2,7:45 AM VB2102,,Cancun (CUN),VivaAerobus A20N (XA-VII),Landed 7:38 AM,2021-06-09
3,3,7:45 AM VB3044,,Guadalajara (GDL),VivaAerobus A320 (XA-VAY),Landed 7:26 AM,2021-06-09
4,4,9:20 AM 7M30,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-09
5,5,9:50 AM Y4692,,Guadalajara (GDL),Volaris A320 (N513VL),Landed 10:01 AM,2021-06-09
6,6,10:25 AM,AM852,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 10:16 AM,2021-06-09
7,7,10:45 AM VB9036,,Reynosa (REX),VivaAerobus A320 (XA-VAW),Landed 10:37 AM,2021-06-09
8,8,11:49 AM,UA6361,Houston (IAH),United Express E75L (N86350),Landed 11:35 AM,2021-06-09
9,9,3:05 PM YQ610,,Ciudad del Carmen (CME),TAR Aerolineas ERJ,Unknown,2021-06-09
10,10,3:29 PM,AM856,Mexico City (MEX),Aeromexico Connect E190 (XA-GAF),Landed 3:38 PM,2021-06-09
11,11,6:00 PM VB4166,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 5:40 PM,2021-06-09
12,12,6:07 PM,AM858,Mexico City (MEX),Aeromexico Connect E190 (XA-ALR),Landed 6:42 PM,2021-06-09
13,13,7:40 PM,AM860,Mexico City (MEX),Aeromexico Connect E190 (XA-AEE),Landed 7:43 PM,2021-06-09
14,14,7:40 PM,VW653,Mexico City (MEX),Aeromar AT76 (XA-UZT),Landed 7:38 PM,2021-06-09
15,15,9:50 PM VB2110,,Cancun (CUN),VivaAerobus A20N (XA-VII),Landed 10:08 PM,2021-06-09
16,16,10:05 PM VB9028,,Merida (MID),VivaAerobus A320 (XA-VAE),Landed 9:44 PM,2021-06-09
17,17,10:45 PM,AM862,Mexico City (MEX),Aeromexico Connect E190 (XA-ACJ),Landed 10:59 PM,2021-06-09
0,0,07:14,AM850,Mexico City (MEX),Aeromexico Connect E190 (XA-ACM),Landed 07:00,2021-06-10
1,1,07:35 VB4162,,Monterrey (MTY),VivaAerobus A20N (XA-VIW),Landed 07:15,2021-06-10
2,2,07:45 VB2102,,Cancun (CUN),VivaAerobus A320 (XA-VAR),Landed 07:34,2021-06-10
3,3,07:45 VB3044,,Guadalajara (GDL),VivaAerobus A320 (XA-VAY),Landed 07:27,2021-06-10
4,4,09:20 7M30,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-10
5,5,10:25,AM852,Mexico City (MEX),Aeromexico Connect E190 (XA-ALZ),Landed 10:32,2021-06-10
6,6,11:49,UA6361,Houston (IAH),United Express E75L (N88346),Landed 12:02,2021-06-10
7,7,15:05 YQ610,,Ciudad del Carmen (CME),TAR Aerolineas ERJ,Unknown,2021-06-10
8,8,15:29,AM856,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 15:33,2021-06-10
9,9,15:50 VB1426,,Mexico City (MEX),VivaAerobus A20N (XA-VIB),Landed 15:56,2021-06-10
10,10,18:07,AM858,Mexico City (MEX),Aeromexico Connect E190 (XA-ALR),Landed 18:53,2021-06-10
11,11,19:40,VW653,Mexico City (MEX),Aeromar AT76 (XA-UZT),Landed 19:22,2021-06-10
12,12,19:45,AM860,Mexico City (MEX),Aeromexico Connect E190 (XA-GAE),Landed 19:44,2021-06-10
13,13,21:50 VB2110,,Cancun (CUN),VivaAerobus A20N (XA-VII),Landed 22:05,2021-06-10
14,14,22:05 VB4168,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 21:57,2021-06-10
15,15,22:45,AM862,Mexico City (MEX),Aeromexico Connect E190 (XA-AAC),Landed 23:13,2021-06-10
0,0,07:14,AM850,Mexico City (MEX),Aeromexico Connect E190 (XA-GAG),Landed 07:00,2021-06-11
1,1,07:25 VB1422,,Mexico City (MEX),VivaAerobus A320 (XA-VAT),Landed 07:15,2021-06-11
2,2,07:35 VB4162,,Monterrey (MTY),Viva Aerobus A320 (XA-VAC),Landed 07:49,2021-06-11
3,3,07:45 VB2102,,Cancun (CUN),VivaAerobus A320 (XA-VAW),Landed 07:33,2021-06-11
4,4,07:45 VB3044,,Guadalajara (GDL),VivaAerobus A320 (XA-VAB),Landed 07:28,2021-06-11
5,5,09:20 7M30,,Villahermosa (VSA),MAYAir F50,Unknown,2021-06-11
6,6,09:50 Y4692,,Guadalajara (GDL),Volaris A320 (XA-VLF),Landed 09:39,2021-06-11
7,7,10:25,AM852,Mexico City (MEX),Aeromexico Connect E190 (XA-ACN),Landed 10:45,2021-06-11
