,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05,LA3217,Sao Paulo (GRU),LATAM Airlines A319 (PR-MBN),Landed 00:10,2021-06-08
1,1,00:15 AD4736,,Recife (REC),Azul Linhas Aereas E195 (PR-AUE),Landed 00:14,2021-06-08
2,2,00:35,AD4410,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEE),Landed 00:31,2021-06-08
3,3,06:35 AD5601,,Sao Paulo (GRU),Azul Conecta Cargo C208 (PT-OZA),Landed 06:29,2021-06-08
4,4,08:21,LA3212,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYX),Landed 08:20,2021-06-08
5,5,09:25 AD2045,,Campinas (VCP),Azul Linhas Aereas -,Unknown,2021-06-08
6,6,09:40,AD4698,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEG),Landed 09:27,2021-06-08
7,7,09:52 LA3390,,Rio de Janeiro (SDU),LATAM Airlines A319 (PT-TMI),Landed 09:47,2021-06-08
8,8,10:00,AD4578,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AYG),Unknown,2021-06-08
9,9,10:00 G32192,,Rio de Janeiro (SDU),GOL Linhas Aereas B738 (PR-GGY),Landed 09:34,2021-06-08
10,10,10:15,G31392,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGN),Landed 09:56,2021-06-08
11,11,14:20,AD4094,Belo Horizonte (CNF),Azul Linhas Aereas E95,Unknown,2021-06-08
12,12,14:35 AD4117,,Rio de Janeiro (SDU),Azul Linhas Aereas (Sustentabilidade Livery) E195 (PR-AYX),Unknown,2021-06-08
13,13,14:45,AD4761,Campinas (VCP),Azul Linhas Aereas E295 (PS-AED),Landed 14:24,2021-06-08
14,14,18:25,AD4242,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AXI),Unknown,2021-06-08
15,15,18:40,G31396,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMC),Landed 18:18,2021-06-08
16,16,18:45,AD4943,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRW),Landed 18:27,2021-06-08
17,17,19:22,LA3216,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYD),Landed 19:17,2021-06-08
18,18,19:35,LA3784,Sao Paulo (CGH),LATAM Airlines A320 (PR-MAG),Unknown,2021-06-08
