,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15 EO1818,,Antalya (AYT),Pegas Fly 763,Unknown,2021-06-08
1,1,00:35 SU6021,,St. Petersburg (LED),Rossiya A320 (VQ-BFM),Landed 00:07,2021-06-08
2,2,00:40 R3796,,Nalchik (NAL),Yakutia Airlines B738 (VQ-BMP),Landed 00:19,2021-06-08
3,3,00:40 UT6808,,Dushanbe (DYU),UTair B762 (VP-BAL),Landed 00:40,2021-06-08
4,4,00:55 UT592,,Ufa (UFA),UTair B738 (VQ-BQR),Landed 00:45,2021-06-08
5,5,01:05 TK4001,,Antalya (AYT),Turkish Airlines 73H,Unknown,2021-06-08
6,6,01:45,TK211,Antalya (AYT),Turkish Airlines 321,Unknown,2021-06-08
7,7,02:55 DP188,,Makhachkala (MCX),Pobeda B738 (VP-BQQ),Landed 02:49,2021-06-08
8,8,03:05 TK4007,,Dalaman (DLM),Turkish Airlines 73H,Unknown,2021-06-08
9,9,03:15 UT574,,Mineralnye Vody (MRV),UTair B738 (VQ-BDH),Landed 03:30,2021-06-08
10,10,03:20 UT458,,Anapa (AAQ),UTair B734 (VQ-BIC),Landed 02:59,2021-06-08
11,11,03:40 UT508,,Krasnodar (KRR),UTair B738 (VQ-BDR),Landed 03:35,2021-06-08
12,12,03:50 TK4005,,Bodrum (BJV),Turkish Airlines 73H,Unknown,2021-06-08
13,13,04:30 UT394,,Kaliningrad (KGD),UTair B734 (VQ-BHZ),Landed 04:10,2021-06-08
14,14,05:00,TK419,Istanbul (IST),Turkish Airlines 321,Unknown,2021-06-08
15,15,05:10 DP420,,Novosibirsk (OVB),Pobeda B738 (VQ-BTH),Landed 05:00,2021-06-08
16,16,05:35 DP472,,Omsk (OMS),Pobeda B738 (VP-BGQ),Landed 05:15,2021-06-08
17,17,05:45 UT578,,Murmansk (MMK),UTair B735 (VQ-BJN),Landed 05:40,2021-06-08
18,18,06:00 R3479,,Barnaul (BAX),Yakutia Airlines B737 (VQ-BGH),Landed 11:08,2021-06-08
19,19,06:10 UT254,,Surgut (SGC),UTair B738 (VQ-BJF),Landed 06:18,2021-06-08
20,20,06:15 DP414,,Chelyabinsk (CEK),Pobeda B738 (VQ-BHV),Landed 07:10,2021-06-08
21,21,06:20 DP434,,Perm (PEE),Pobeda B738 (VP-BOH),Landed 06:17,2021-06-08
22,22,06:30 DP406,,Yekaterinburg (SVX),Pobeda B738 (VP-BQC),Landed 06:26,2021-06-08
23,23,06:30 ZF5032,,Urgench (UGC),Azur Air B763 (VQ-BEO),Landed 13:30,2021-06-08
24,24,07:00 DP496,,Kurgan (KRO),Pobeda B738 (VQ-BWH),Landed 06:32,2021-06-08
25,25,07:15 DP436,,Ufa (UFA),Pobeda B738 (VQ-BHU),Landed 06:45,2021-06-08
26,26,07:20 DP260,,Surgut (SGC),Pobeda B738 (VQ-BTD),Landed 07:40,2021-06-08
27,27,07:25 DP450,,Tyumen (TJM),Pobeda B738 (VP-BQG),Landed 07:25,2021-06-08
28,28,07:35 SU6009,,St. Petersburg (LED),Rossiya A319 (VQ-BAR),Landed 07:16,2021-06-08
29,29,07:50 R3473,,Barnaul (BAX),Yakutia Airlines B737 (VP-BIO),Landed 13:50,2021-06-08
30,30,07:50 5F135,,Chisinau (KIV),Fly One 320,Unknown,2021-06-08
31,31,07:55 DP404,,Yekaterinburg (SVX),Pobeda B738 (VP-BPX),Landed 07:32,2021-06-08
