,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:05,UX4063,Madrid (MAD),Air Europa Express E195 (EC-LEK),Landed 07:52,2021-06-08
1,1,08:30 3V4216,,Barcelona (BCN),ASL Airlines France B734 (F-GIXU),Landed 08:42,2021-06-08
2,2,08:45 W63185,,Bucharest (OTP),Wizz Air A21N (HA-LVI),Landed 08:26,2021-06-08
3,3,09:00,IB8872,Madrid (MAD),Iberia Regional (Valencia C.F. Livery) CRJX (EC-MXA),Landed 08:51,2021-06-08
4,4,09:05 FR138,,Berlin (BER),Ryanair B738 (9H-QBV),Landed 08:46,2021-06-08
5,5,09:35 HV5105,,Eindhoven (EIN),Transavia B738 (PH-HXL),Landed 09:15,2021-06-08
6,6,10:30 FR9001,,Paris (BVA),Ryanair B738 (EI-EKL),Landed 10:13,2021-06-08
7,7,11:20 FR2257,,Cologne (CGN),Ryanair B738 (EI-EMA),Landed 11:05,2021-06-08
8,8,11:30 UX4007,,Palma de Mallorca (PMI),Air Europa Express E195 (EC-LEK),Landed 11:14,2021-06-08
9,9,11:40 AF9454,,Paris (CDG),Air France A318 (F-GUGD),Landed 11:33,2021-06-08
10,10,11:50,LH1160,Frankfurt (FRA),Lufthansa A20N (D-AINY),Landed 11:44,2021-06-08
11,11,12:15 FR2219,,Hamburg (HAM),Ryanair B738 (EI-EVG),Landed 12:02,2021-06-08
12,12,12:40 FR7223,,Santiago (SCQ),Ryanair B738 (EI-EBG),Landed 12:21,2021-06-08
13,13,14:00 FR2215,,Santander (SDR),Ryanair B738 (EI-EKL),Landed 13:47,2021-06-08
14,14,14:00 FR6836,,Naples (NAP),Ryanair B738 (9H-QAY),Landed 13:51,2021-06-08
15,15,14:20,VY8155,Paris (ORY),Vueling A320 (EC-LVO),Landed 14:00,2021-06-08
16,16,14:25 LX2142,,Zurich (ZRH),Swiss BCS1 (HB-JBE),Landed 14:03,2021-06-08
17,17,14:50 FR7217,,Ibiza (IBZ),Ryanair B738 (EI-EVG),Landed 14:42,2021-06-08
18,18,15:40,VY3694,Ibiza (IBZ),Vueling A320 (EC-MES),Landed 15:21,2021-06-08
19,19,15:45 FR7219,,Luqa (MLA),Ryanair B738 (EI-EBD),Landed 15:41,2021-06-08
20,20,15:55 IB8391,,Seville (SVQ),Iberia Regional CRJX (EC-MUG),Landed 15:44,2021-06-08
21,21,16:30,KL1503,Amsterdam (AMS),KLM E75L (PH-EXM),Landed 16:16,2021-06-08
22,22,16:50 FR7267,,Treviso (TSF),Ryanair B738 (EI-EMA),Landed 17:00,2021-06-08
23,23,17:00,IB8876,Madrid (MAD),Iberia Regional CRJX (EC-MPA),Landed 16:54,2021-06-08
24,24,18:00,VY3956,Palma de Mallorca (PMI),Vueling (Disneyland Paris - 25 Years Livery) A320 (EC-MLE),Landed 17:54,2021-06-08
25,25,19:05,HV6335,Amsterdam (AMS),Transavia B738 (PH-HSA),Landed 18:55,2021-06-08
26,26,19:10 W64409,,Sofia (SOF),Wizz Air A21N (HA-LVS),Landed 19:15,2021-06-08
27,27,19:10 FR7215,,Palma de Mallorca (PMI),Ryanair B738 (EI-EBD),Landed 18:58,2021-06-08
28,28,20:00 FR1918,,Brussels (CRL),Ryanair B738 (EI-EGC),Landed 20:38,2021-06-08
29,29,20:05 W63411,,Cluj-Napoca (CLJ),Wizz Air A320 (HA-LYR),Diverted to ALC,2021-06-08
30,30,20:20 IB8400,,Palma de Mallorca (PMI),Iberia Regional CRJX (EC-MTO),Landed 20:21,2021-06-08
31,31,22:15 FR7265,,Trieste (TRS),Ryanair B738 (EI-EMD),Landed 21:55,2021-06-08
32,32,22:45 FR8965,,Malaga (AGP),Ryanair B738 (EI-GXM),Landed 22:39,2021-06-08
33,33,23:15 IB8431,,Ibiza (IBZ),Iberia Regional CRJX (EC-MTO),Landed 22:53,2021-06-08
0,0,07:55,VY3954,Palma de Mallorca (PMI),Vueling A320 (EC-LVS),Scheduled,2021-06-10
1,1,08:25 FR4663,,Milan (BGY),Ryanair 73H,Scheduled,2021-06-10
2,2,08:25 FR7223,,Santiago (SCQ),Ryanair 73H,Scheduled,2021-06-10
3,3,08:30 3V4216,,Barcelona (BCN),ASL Airlines Belgium 73P,Scheduled,2021-06-10
4,4,08:40 V73582,,Asturias (OVD),Volotea 319,Scheduled,2021-06-10
5,5,08:45 LX2130,,Geneva (GVA),Swiss BCS1 (HB-JBA),Scheduled,2021-06-10
6,6,08:45 U21049,,Basel (BSL),easyJet A320 (HB-JXP),Scheduled,2021-06-10
7,7,08:50 FR7402,,Mahon (MAH),Ryanair 73H,Scheduled,2021-06-10
8,8,09:00,IB8872,Madrid (MAD),Iberia CRK,Scheduled,2021-06-10
9,9,09:35 0B113,,Bucharest (OTP),Blue Air 738,Scheduled,2021-06-10
10,10,10:25 FR8321,,London (STN),Ryanair 73H,Scheduled,2021-06-10
11,11,10:50 FR2259,,Turin (TRN),Ryanair 73H,Scheduled,2021-06-10
12,12,11:20,HV6335,Amsterdam (AMS),Transavia B738 (PH-HSF),Scheduled,2021-06-10
13,13,11:20,VY3694,Ibiza (IBZ),Vueling A320 (EC-LOC),Scheduled,2021-06-10
14,14,11:40 AF9454,,Paris (CDG),Air France 319,Scheduled,2021-06-10
15,15,11:40 SN3751,,Brussels (BRU),Brussels Airlines A320 (OO-SNL),Scheduled,2021-06-10
16,16,11:45,VY8153,Paris (ORY),Vueling A320 (EC-MES),Scheduled,2021-06-10
17,17,11:50,LH1160,Frankfurt (FRA),Lufthansa A20N (D-AINK),Scheduled,2021-06-10
18,18,12:00,TP1094,Lisbon (LIS),TAP Air Portugal AT7,Scheduled,2021-06-10
19,19,12:10 V73959,,Mahon (MAH),Volotea 319,Scheduled,2021-06-10
20,20,12:10,VY3964,Seville (SVQ),Vueling A320 (EC-MGE),Scheduled,2021-06-10
21,21,12:50 FR1444,,Milan (MXP),Ryanair 73H,Scheduled,2021-06-10
22,22,13:00 FR7086,,Dublin (DUB),Ryanair 73H,Scheduled,2021-06-10
23,23,13:20 FR6423,,Bologna (BLQ),Ryanair 73H,Scheduled,2021-06-10
24,24,13:30 EW2530,,Stuttgart (STR),Eurowings A319 (D-AGWJ),Scheduled,2021-06-10
25,25,13:35,VY3123,Tenerife (TFN),Vueling A320 (EC-LOB),Scheduled,2021-06-10
26,26,13:40,VY1316,Barcelona (BCN),Vueling A319 (EC-MGF),Scheduled,2021-06-10
27,27,13:50 LX2142,,Zurich (ZRH),Swiss A320 (HB-JLP),Scheduled,2021-06-10
28,28,14:20 FR2208,,Seville (SVQ),Ryanair 73H,Scheduled,2021-06-10
29,29,14:30 FR2985,,Brussels (BRU),Ryanair B738 (EI-EVG),Scheduled,2021-06-10
30,30,14:30 TO3174,,Paris (ORY),Transavia France 73H,Scheduled,2021-06-10
31,31,15:10 FR7229,,Porto (OPO),Ryanair 73H,Scheduled,2021-06-10
32,32,15:20 AF9414,,Paris (CDG),Air France E90,Scheduled,2021-06-10
33,33,15:55 IB8391,,Seville (SVQ),Iberia CRK,Scheduled,2021-06-10
34,34,16:00 FR4465,,Tenerife (TFN),Ryanair 73H,Scheduled,2021-06-10
35,35,16:05,UX4065,Madrid (MAD),Air Europa E90,Scheduled,2021-06-10
36,36,16:30 IB8441,,Mahon (MAH),Iberia CRK,Scheduled,2021-06-10
