,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:50,,Mexico City (MEX),- B734,Canceled,2021-06-08
1,1,07:05 E7615,,Mexico City (MEX),Estafeta Carga Aerea B734 (XA-ESF),Landed 06:02,2021-06-08
2,2,07:25 Y4136,,Mexico City (MEX),Volaris A320 (N507VL),Landed 06:53,2021-06-08
3,3,07:39,AM800,Mexico City (MEX),Aeromexico B738 (XA-MIA),Landed 07:35,2021-06-08
4,4,08:00 7M30,,Merida (MID),MAYAir F50,Unknown,2021-06-08
5,5,10:37 AM804,,Mexico City (MEX),Aeromexico B738 (XA-ADT),Landed 10:30,2021-06-08
6,6,12:45 VB2122,,Cancun (CUN),VivaAerobus A20N (XA-VIT),Landed 12:19,2021-06-08
7,7,13:48 AM806,,Mexico City (MEX),Aeromexico Connect E190 (XA-GAF),Landed 13:50,2021-06-08
8,8,16:40,AM808,Mexico City (MEX),Aeromexico Connect E190 (XA-AEN),Landed 16:42,2021-06-08
9,9,18:58,AM419,Mexico City (MEX),Aeromexico Connect E190 (XA-BAC),Landed 18:38,2021-06-08
10,10,19:30 7M31,,Veracruz (VER),MAYAir F50,Unknown,2021-06-08
11,11,21:40 VB4398,,Monterrey (MTY),VivaAerobus A21N (XA-VBA),Landed 21:29,2021-06-08
12,12,21:50 VB1286,,Mexico City (MEX),VivaAerobus A20N (XA-VIK),Landed 21:42,2021-06-08
13,13,21:50,,Merida (MID),- B734,Canceled,2021-06-08
14,14,22:05 E7610,,Merida (MID),Estafeta Carga Aerea B734 (XA-ESF),Landed 21:54,2021-06-08
15,15,23:24,AM812,Mexico City (MEX),Aeromexico Connect E190 (XA-ACI),Landed 23:15,2021-06-08
0,0,6:50 AM,,Mexico City (MEX),- B734,Canceled,2021-06-09
1,1,7:05 AM E7615,,Mexico City (MEX),Estafeta Carga Aerea B734 (XA-ESF),Landed 6:32 AM,2021-06-09
2,2,7:39 AM,AM800,Mexico City (MEX),Aeromexico B738 (XA-AMB),Landed 7:38 AM,2021-06-09
3,3,8:00 AM 7M30,,Merida (MID),MAYAir F50,Unknown,2021-06-09
4,4,8:25 AM VB3254,,Guadalajara (GDL),VivaAerobus A320 (XA-VAB),Landed 8:12 AM,2021-06-09
5,5,10:37 AM AM804,,Mexico City (MEX),Aeromexico Connect E190 (XA-AEN),Unknown,2021-06-09
6,6,1:48 PM,AM806,Mexico City (MEX),Aeromexico Connect E190 (XA-MAC),Landed 1:40 PM,2021-06-09
7,7,4:40 PM,AM808,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 4:29 PM,2021-06-09
8,8,6:39 PM Y4156,,Mexico City (MEX),Volaris A320 (N517VL),Unknown,2021-06-09
9,9,6:58 PM,AM419,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Unknown,2021-06-09
10,10,7:30 PM 7M31,,Veracruz (VER),MAYAir F50,Unknown,2021-06-09
11,11,9:15 PM VB2128,,Cancun (CUN),VivaAerobus A20N (XA-VIT),Landed 8:51 PM,2021-06-09
12,12,9:40 PM VB4398,,Monterrey (MTY),VivaAerobus A320 (XA-VAV),Landed 9:37 PM,2021-06-09
13,13,9:50 PM VB1286,,Mexico City (MEX),VivaAerobus A20N (XA-VIA),Landed 9:43 PM,2021-06-09
14,14,9:50 PM,,Merida (MID),- B734,Canceled,2021-06-09
15,15,10:05 PM E7610,,Merida (MID),Estafeta Carga Aerea B734 (XA-ESF),Unknown,2021-06-09
