,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,6:30 AM Z8150,,Cochabamba (CBB),Amaszonas CR2,Unknown,2020-10-04
1,1,6:40 AM OB630,,Cochabamba (CBB),Boliviana de Aviacion 733,Unknown,2020-10-04
2,2,6:45 AM OB660,,La Paz (LPB),Boliviana de Aviacion 737,Unknown,2020-10-04
3,3,7:15 AM OB662,,La Paz (LPB),Boliviana de Aviacion 737,Unknown,2020-10-04
4,4,8:00 AM Z8100,,La Paz (LPB),Amaszonas E190 (CP-3135),Landed 7:48 AM,2020-10-04
5,5,8:15 AM OB692,,Cochabamba (CBB),Boliviana de Aviacion 733,Unknown,2020-10-04
6,6,9:00 AM Z8250,,Cochabamba (CBB),Amaszonas DH8,Unknown,2020-10-04
7,7,9:40 AM Z8102,,La Paz (LPB),Amaszonas E90,Unknown,2020-10-04
8,8,10:35 AM OB638,,Cochabamba (CBB),Boliviana de Aviacion B738 (CP-2926),Landed 11:59 AM,2020-10-04
9,9,11:00 AM Z8171,,Sucre (SRE),Amaszonas E190 (CP-3135),Landed 10:57 AM,2020-10-04
10,10,11:15 AM Z8104,,La Paz (LPB),Amaszonas E90,Unknown,2020-10-04
11,11,11:40 AM Z8203,,Sucre (SRE),Amaszonas DH8,Unknown,2020-10-04
12,12,12:00 PM Z8154,,Cochabamba (CBB),Amaszonas CR2,Unknown,2020-10-04
13,13,12:25 PM Z8106,,La Paz (LPB),Amaszonas E90,Unknown,2020-10-04
14,14,12:50 PM OB668,,La Paz (LPB),Boliviana de Aviacion 737,Unknown,2020-10-04
15,15,1:35 PM 8J381,,Trinidad (TDD),EcoJet AR8,Unknown,2020-10-04
16,16,2:00 PM OB670,,La Paz (LPB),Boliviana de Aviacion B738 (CP-3138),Landed 1:54 PM,2020-10-04
17,17,2:35 PM Z8110,,La Paz (LPB),Amaszonas E90,Unknown,2020-10-04
18,18,2:55 PM OB423,,Cobija (CIJ),Boliviana de Aviacion 733,Unknown,2020-10-04
19,19,3:05 PM OB672,,La Paz (LPB),Boliviana de Aviacion 737,Unknown,2020-10-04
20,20,3:15 PM OB642,,Cochabamba (CBB),Boliviana de Aviacion 733,Unknown,2020-10-04
21,21,3:30 PM Z8114,,La Paz (LPB),Amaszonas E190 (CP-3130),Landed 3:19 PM,2020-10-04
22,22,4:05 PM Z8291,,Trinidad (TDD),Amaszonas DH8,Unknown,2020-10-04
23,23,4:10 PM 8J581,,Sucre (SRE),EcoJet AR8,Unknown,2020-10-04
24,24,4:20 PM OB644,,Cochabamba (CBB),Boliviana de Aviacion 733,Unknown,2020-10-04
25,25,4:35 PM OB678,,La Paz (LPB),Boliviana de Aviacion 737,Unknown,2020-10-04
