,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,05:35 3Z7407,,Rhodes (RHO),Smartwings Poland 73H,Unknown,2021-06-08
1,1,06:05 W61594,,Lisbon (LIS),Wizz Air 32Q,Unknown,2021-06-08
2,2,06:15 LO756,,Kyiv (IEV),LOT E75S (SP-LIN),Landed 05:55,2021-06-08
3,3,06:15 LO6522,,Puerto Plata (POP),LOT B789 (SP-LSF),Landed 05:52,2021-06-08
4,4,06:25 LO3804,,Rzeszow (RZE),LOT (Star Alliance Livery) E170 (SP-LDK),Landed 06:05,2021-06-08
5,5,06:25,LO3942,Poznan (POZ),LOT DH8D (SP-EQC),Landed 06:20,2021-06-08
6,6,06:25 3V4419,,Liege (LGG),FedEx B734 (OE-IAT),Landed 06:27,2021-06-08
7,7,06:30,LO3880,Katowice (KTW),LOT DH8D (SP-EQI),Landed 06:13,2021-06-08
8,8,06:35 LO774,,Vilnius (VNO),LOT E190 (SP-LMB),Landed 06:16,2021-06-08
9,9,06:40 LO724,,Tbilisi (TBS),LOT B738 (SP-LWC),Landed 06:32,2021-06-08
10,10,06:40 LO728,,Yerevan (EVN),LOT B738 (SP-LWD),Landed 07:10,2021-06-08
11,11,06:40,LO3828,Gdansk (GDN),LOT (Podkarpackie livery) DH8D (SP-EQE),Landed 06:29,2021-06-08
12,12,06:40,LO3850,Wroclaw (WRO),LOT DH8D (OY-YBZ),Landed 06:25,2021-06-08
13,13,06:40,LO3910,Krakow (KRK),LOT DH8D (SP-EQH),Landed 06:22,2021-06-08
14,14,07:25 WT8019,,Paris (CDG),Swiftair AT72 (EC-LSN),Landed 07:56,2021-06-08
15,15,09:05,LH1346,Frankfurt (FRA),Lufthansa CRJ9 (D-ACKK),Landed 09:00,2021-06-08
16,16,09:30 LO2,,Chicago (ORD),LOT B788 (SP-LRH),Landed 08:58,2021-06-08
17,17,09:40 XQ870,,Izmir (ADB),SunExpress B738 (TC-SEN),Landed 09:24,2021-06-08
18,18,09:55 LO3982,,Zielona Gora (IEG),LOT DH8D (SP-EQK),Landed 09:40,2021-06-08
19,19,10:15 W61364,,Basel (BSL),Wizz Air 32Q,Unknown,2021-06-08
20,20,10:20 LO3932,,Szczecin (SZZ),LOT DH8D (SP-EQC),Landed 09:53,2021-06-08
21,21,11:00 W61382,,Brussels (CRL),Wizz Air 32Q,Unknown,2021-06-08
22,22,11:30 W61372,,Eindhoven (EIN),Wizz Air A21N (HA-LVA),Landed 11:21,2021-06-08
23,23,11:35,KL1363,Amsterdam (AMS),KLM E295 (PH-NXB),Landed 11:35,2021-06-08
24,24,11:40,LO224,Vienna (VIE),LOT E170 (SP-LDG),Landed 11:29,2021-06-08
25,25,11:45,AF1146,Paris (CDG),Air France E190 (F-HBLG),Landed 11:57,2021-06-08
26,26,12:00,LO464,Copenhagen (CPH),LOT E75S (SP-LIC),Landed 12:04,2021-06-08
27,27,12:05 A3444,,Heraklion (HER),Aegean Airlines A320 (SX-DVM),Landed 11:42,2021-06-08
28,28,12:05 LO454,,Stockholm (ARN),LOT E190 (SP-LMA),Landed 11:56,2021-06-08
29,29,12:15 LO410,,Dusseldorf (DUS),LOT (Star Alliance Livery) E170 (SP-LDK),Landed 11:46,2021-06-08
30,30,12:20,LO236,Brussels (BRU),LOT E75S (SP-LIL),Landed 12:07,2021-06-08
31,31,12:30,LH1612,Munich (MUC),Air Dolomiti E195 (I-ADJT),Landed 12:27,2021-06-08
32,32,12:35,LO382,Frankfurt (FRA),LOT E75S (SP-LIB),Landed 12:32,2021-06-08
33,33,12:40,LO412,Zurich (ZRH),LOT (Sliwka Naleczowska Livery) E195 (SP-LNC),Landed 12:30,2021-06-08
34,34,12:45 LO27,,New York (JFK),LOT (Independence Livery) B789 (SP-LSC),Landed 12:21,2021-06-08
35,35,12:45,LO266,Amsterdam (AMS),LOT (Retro Livery) E75S (SP-LIM),Landed 12:53,2021-06-08
36,36,12:55 LO318,,Milan (MXP),LOT E190 (SP-LMB),Landed 12:41,2021-06-08
37,37,13:05,LO3908,Krakow (KRK),LOT DH8D (SP-EQB),Landed 12:44,2021-06-08
38,38,13:10 LO482,,Oslo (OSL),LOT E75S (SP-LIN),Landed 12:52,2021-06-08
39,39,13:20 LO16,,New York (EWR),LOT B788 (SP-LRF),Landed 12:56,2021-06-08
40,40,13:20,LO332,Paris (CDG),LOT E75S (SP-LIK),Landed 13:16,2021-06-08
41,41,13:35,LH1348,Frankfurt (FRA),Lufthansa A20N (D-AINB),Landed 13:37,2021-06-08
42,42,13:35 LO786,,Tallinn (TLL),Nordica CRJ9 (ES-ACC),Landed 13:27,2021-06-08
43,43,13:40 LO4,,Chicago (ORD),LOT B789 (SP-LSG),Landed 13:48,2021-06-08
44,44,13:40,LO282,London (LHR),LOT B38M (SP-LVB),Landed 13:31,2021-06-08
45,45,13:40 LO772,,Vilnius (VNO),LOT E190 (SP-LMC),Landed 13:19,2021-06-08
46,46,13:45,LO3844,Wroclaw (WRO),LOT DH8D (SP-EQF),Landed 13:21,2021-06-08
47,47,13:45,LO3838,Gdansk (GDN),LOT E195 (SP-LNE),Landed 13:34,2021-06-08
48,48,14:10 LO8578,,Ibiza (IBZ),LOT E195 (SP-LNN),Landed 14:02,2021-06-08
49,49,14:25 LO98,,Seoul (ICN),LOT B788 (SP-LRG),Landed 13:45,2021-06-08
50,50,15:45 LO8570,,Katowice (KTW),LOT E195 (SP-LNO),Landed 15:20,2021-06-08
51,51,16:15 W61568,,Kyiv (IEV),Wizz Air A320 (HA-LWN),Landed 16:22,2021-06-08
52,52,16:45 W61576,,Kutaisi (KUT),Wizz Air A320 (HA-LWQ),Landed 16:39,2021-06-08
53,53,17:20,A3872,Athens (ATH),Aegean Airlines A321 (SX-DGQ),Landed 17:17,2021-06-08
54,54,17:20 QS7461,,Zakynthos (ZTH),Smartwings 73H,Unknown,2021-06-08
55,55,17:20 QS7460,,Zakynthos (ZTH),Smartwings B738 (OK-TVV),Landed 16:59,2021-06-08
56,56,17:55,LH1616,Munich (MUC),Air Dolomiti (Star Alliance Livery) E195 (I-ADJV),Landed 17:43,2021-06-08
57,57,18:15 LO764,,Lviv (LWO),LOT B738 (SP-LWB),Landed 18:06,2021-06-08
58,58,18:25 W61590,,Luqa (MLA),Wizz Air A21N (HA-LVA),Landed 18:12,2021-06-08
59,59,18:30,LO708,Minsk (MSQ),LOT E95,Unknown,2021-06-08
60,60,19:10 LO434,,Madrid (MAD),LOT E75S (SP-LII),Landed 18:37,2021-06-08
61,61,19:15,LO136,Istanbul (IST),LOT B738 (SP-LWA),Landed 18:43,2021-06-08
62,62,19:15 LO516,,Chisinau (KIV),LOT DH8D (SP-EQF),Landed 18:57,2021-06-08
63,63,19:20,LO614,Zagreb (ZAG),LOT E75S (SP-LIK),Landed 18:48,2021-06-08
64,64,19:20,OS631,Vienna (VIE),Austrian Airlines E195 (OE-LWM),Landed 19:07,2021-06-08
65,65,19:25 LO754,,Kyiv (KBP),LOT E195 (SP-LNA),Landed 19:09,2021-06-08
66,66,19:30,EK177,Dubai (DXB),Emirates B77W (A6-EPM),Landed 19:03,2021-06-08
67,67,20:40 3V4418,,Kaunas (KUN),FedEx B734 (OE-IAT),Landed 20:24,2021-06-08
68,68,21:10 LO3936,,Szczecin (SZZ),LOT DH8D (SP-EQI),Landed 20:44,2021-06-08
69,69,21:45,LO678,Moscow (SVO),LOT B738 (SP-LWC),Landed 21:49,2021-06-08
70,70,22:10,KL1369,Amsterdam (AMS),KLM E295 (PH-NXB),Landed 21:59,2021-06-08
71,71,22:25,LH1352,Frankfurt (FRA),Lufthansa (Lu Sticker) A319 (D-AILU),Landed 22:33,2021-06-08
72,72,22:25 QS7495,,Kos (KGS),Smartwings B38M (OK-SWE),Landed 22:12,2021-06-08
73,73,22:25 3Z7307,,Funchal (FNC),Smartwings B38M (OK-SWM),Landed 21:57,2021-06-08
74,74,22:45 W61312,,Liverpool (LPL),Wizz Air 32Q,Unknown,2021-06-08
75,75,22:50 W61496,,Tenerife (TFS),Wizz Air 32Q,Unknown,2021-06-08
