,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,7:00 AM S8284,,Blenheim (BHE),Sounds Air C208 (ZK-SAA),Landed 6:48 AM,2021-06-11
1,1,7:00 AM S8900,,Westport (WSZ),Sounds Air PC12 (ZK-PLT),Landed 6:46 AM,2021-06-11
2,2,7:05 AM,JQ251,Auckland (AKL),Jetstar Airways A320 (VH-VQA),Landed 6:56 AM,2021-06-11
3,3,7:15 AM NZ5825,,Hamilton (HLZ),Air New Zealand AT76 (ZK-MZD),Landed 7:04 AM,2021-06-11
4,4,7:20 AM S8801,,Taupo (TUO),Sounds Air Travel PC12 (ZK-PLB),Landed 7:30 AM,2021-06-11
5,5,7:30 AM NZ8720,,Blenheim (BHE),Air New Zealand DH8C (ZK-NEH),Landed 7:22 AM,2021-06-11
6,6,7:35 AM,NZ401,Auckland (AKL),Air New Zealand A320 (ZK-OXE),Landed 7:46 AM,2021-06-11
7,7,7:35 AM,NZ332,Christchurch (CHC),Air New Zealand A320 (ZK-OXF),Landed 7:23 AM,2021-06-11
8,8,7:40 AM,NZ680,Dunedin (DUD),Air New Zealand A320 (ZK-OXM),Landed 8:35 AM,2021-06-11
9,9,7:40 AM NZ8300,,Nelson (NSN),Air New Zealand DH8C (ZK-NED),Landed 7:37 AM,2021-06-11
10,10,7:45 AM NZ8791,,New Plymouth (NPL),Air New Zealand DH8C (ZK-NEO),Landed 7:33 AM,2021-06-11
11,11,7:45 AM NZ8283,,Gisborne (GIS),Air New Zealand DH8C (ZK-NET),Landed 7:43 AM,2021-06-11
12,12,7:50 AM NZ8251,,Tauranga (TRG),Air New Zealand DH8C (ZK-NEE),Landed 7:41 AM,2021-06-11
13,13,8:00 AM,JQ253,Auckland (AKL),Jetstar Airways A320 (VH-VFV),Landed 7:55 AM,2021-06-11
14,14,8:00 AM NZ8190,,Timaru (TIU),Air New Zealand DH8C (ZK-NEZ),Landed 8:19 AM,2021-06-11
15,15,8:00 AM S8322,,Nelson (NSN),Sounds Air C208 (ZK-SAY),Landed 7:36 AM,2021-06-11
16,16,8:05 AM,NZ405,Auckland (AKL),Air New Zealand A21N (ZK-NNA),Landed 8:02 AM,2021-06-11
17,17,8:05 AM,NZ8872,Invercargill (IVC),Air New Zealand DH8C (ZK-NEW),Landed 11:46 AM,2021-06-11
18,18,8:15 AM NZ8231,,Rotorua (ROT),Air New Zealand DH8C (ZK-NEA),Landed 8:06 AM,2021-06-11
19,19,8:20 AM NZ5883,,Napier (NPE),Air New Zealand AT76 (ZK-MVL),Landed 8:12 AM,2021-06-11
20,20,8:20 AM NZ8302,,Nelson (NSN),Air New Zealand DH8C (ZK-NEC),Landed 8:09 AM,2021-06-11
21,21,8:35 AM,NZ407,Auckland (AKL),Air New Zealand A320 (ZK-OJR),Landed 8:25 AM,2021-06-11
22,22,8:35 AM,NZ5334,Christchurch (CHC),Air New Zealand AT76 (ZK-MVO),Landed 8:30 AM,2021-06-11
23,23,8:35 AM NZ5811,,Hamilton (HLZ),Air New Zealand AT76 (ZK-MVB),Landed 8:28 AM,2021-06-11
24,24,9:00 AM NZ8265,,Tauranga (TRG),Air New Zealand DH8C (ZK-NEM),Landed 8:50 AM,2021-06-11
25,25,9:00 AM S8280,,Blenheim (BHE),Sounds Air C208 (ZK-SAA),Landed 8:42 AM,2021-06-11
26,26,9:05 AM,NZ409,Auckland (AKL),Air New Zealand A320 (ZK-OJS),Landed 9:07 AM,2021-06-11
27,27,9:10 AM NZ5813,,Hamilton (HLZ),Air New Zealand AT76 (ZK-MVW),Landed 8:47 AM,2021-06-11
28,28,9:25 AM,NZ642,Christchurch (CHC),Air New Zealand A320 (ZK-OXD),Landed 9:18 AM,2021-06-11
29,29,9:30 AM,JQ286,Christchurch (CHC),Jetstar Airways A320 (VH-VFF),Landed 9:16 AM,2021-06-11
30,30,9:45 AM S8112,,Picton (PCN),Sounds Air C208 (ZK-SAY),Landed 9:31 AM,2021-06-11
31,31,10:15 AM S8902,,Westport (WSZ),Sounds Air PC12 (ZK-PLT),Landed 9:54 AM,2021-06-11
32,32,10:25 AM NZ8722,,Blenheim (BHE),Air New Zealand DH8C (ZK-NED),Unknown,2021-06-11
33,33,10:35 AM,NZ346,Christchurch (CHC),Air New Zealand A320 (ZK-OXF),Landed 10:26 AM,2021-06-11
34,34,10:35 AM,NZ415,Auckland (AKL),Air New Zealand A21N (ZK-NNE),Landed 10:31 AM,2021-06-11
35,35,10:50 AM NZ8306,,Nelson (NSN),Air New Zealand DH8C (ZK-NEC),Landed 10:44 AM,2021-06-11
36,36,10:55 AM,NZ8793,New Plymouth (NPL),Air New Zealand DH8C (ZK-NEE),Landed 10:47 AM,2021-06-11
37,37,11:00 AM,NZ8885,Napier (NPE),Air New Zealand DH8C (ZK-NEH),Landed 10:50 AM,2021-06-11
38,38,11:15 AM,JQ259,Auckland (AKL),Jetstar Airways A320 (VH-VQA),Landed 10:58 AM,2021-06-11
39,39,11:15 AM 3C512,,Chatham (CHT),Air Chathams AT7,Unknown,2021-06-11
40,40,11:20 AM,NZ348,Christchurch (CHC),Air New Zealand A320 (ZK-OJI),Landed 11:17 AM,2021-06-11
41,41,11:40 AM,NZ8233,Rotorua (ROT),Air New Zealand DH8C (ZK-NEA),Landed 11:27 AM,2021-06-11
42,42,11:55 AM,NZ5255,Tauranga (TRG),Air New Zealand AT76 (ZK-MZD),Landed 11:44 AM,2021-06-11
43,43,12:00 PM NZ8308,,Nelson (NSN),Air New Zealand DH8C (ZK-NEU),Landed 11:48 AM,2021-06-11
44,44,12:01 PM,JQ278,Queenstown (ZQN),Jetstar Airways A320 (VH-VFV),Landed 11:51 AM,2021-06-11
45,45,12:05 PM,NZ421,Auckland (AKL),Air New Zealand A320 (ZK-OXJ),Landed 11:58 AM,2021-06-11
46,46,12:05 PM,NZ682,Dunedin (DUD),Air New Zealand A320 (ZK-OXE),Landed 1:33 PM,2021-06-11
47,47,12:05 PM,NZ5350,Christchurch (CHC),Air New Zealand AT76 (ZK-MZB),Landed 11:55 AM,2021-06-11
48,48,12:30 PM S8328,,Nelson (NSN),Sounds Air CNC,Unknown,2021-06-11
49,49,12:30 PM S8276,,Blenheim (BHE),Sounds Air C208 (ZK-SAA),Landed 12:22 PM,2021-06-11
50,50,12:45 PM NZ8510,,Nelson (NSN),Air New Zealand DH8C (ZK-NEC),Landed 1:06 PM,2021-06-11
51,51,1:05 PM NZ5817,,Hamilton (HLZ),Air New Zealand AT76 (ZK-MVW),Landed 12:51 PM,2021-06-11
52,52,1:10 PM NZ8192,,Timaru (TIU),Air New Zealand DH8C (ZK-NEM),Landed 1:01 PM,2021-06-11
53,53,1:35 PM,NZ427,Auckland (AKL),Air New Zealand A320 (ZK-OXB),Landed 1:23 PM,2021-06-11
54,54,1:40 PM,NZ604,Queenstown (ZQN),Air New Zealand A320 (ZK-OXD),Landed 1:36 PM,2021-06-11
55,55,1:50 PM,NZ8887,Napier (NPE),Air New Zealand DH8C (ZK-NEE),Landed 1:43 PM,2021-06-11
