,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,03:00 VI4630,,Anchorage (ANC),Volga-Dnepr Airlines A124 (RA-82043),Landed 03:01,2021-05-09
1,1,03:42 CWA924,,Grande Prairie (YQU),CanWest Air BE20 (C-GLUH),Landed 04:41,2021-05-09
2,2,07:00 5T1410,,Calgary (YYC),Canadian North (Celebrity Cruises Livery) B733 (C-GPNL),Landed 06:58,2021-05-09
3,3,09:49 CWA935,,Lloydminster (YLL),CanWest Air B350 (C-GLUD),Landed 09:48,2021-05-09
4,4,09:55,F8102,Toronto (YYZ),Flair Airlines B738 (C-FFLC),Landed 09:27,2021-05-09
5,5,10:07 WO183,,Toronto (YYZ),Swoop B738 (C-FLSF),Landed 09:52,2021-05-09
6,6,10:22 AC165,,Toronto (YYZ),Air Canada B38M (C-FSOC),Landed 10:15,2021-05-09
7,7,10:36 CWA928,,Grande Prairie (YQU),CanWest Air BE20 (C-GLUN),Landed 10:31,2021-05-09
8,8,10:38 WS3351,,Calgary (YYC),WestJet DH8D (C-FSWE),Landed 10:24,2021-05-09
9,9,10:41,AC234,Vancouver (YVR),Air Canada BCS3 (C-GNGV),Landed 10:24,2021-05-09
10,10,10:43 AC329,,Montreal (YUL),Air Canada BCS3 (C-GMYU),Landed 10:21,2021-05-09
11,11,11:07 WS421,,Toronto (YYZ),WestJet B38M (C-FNWD),Landed 11:12,2021-05-09
12,12,11:13,,Bonnyville (YBY),- BE20 (C-FSUG),Landed 11:16,2021-05-09
13,13,11:45 J3904,,High Level (YOJ),Northwestern Air JS32,Unknown,2021-05-09
14,14,11:56 NCB580,,Prince George (YXS),North Caribou Flying Service BE20,Landed 11:58,2021-05-09
15,15,12:00 AC8132,,Calgary (YYC),Air Canada Express DH8D (C-GIJZ),Landed 11:49,2021-05-09
16,16,13:24 WS3312,,Kelowna (YLW),WestJet DH8D (C-FHEN),Landed 13:13,2021-05-09
17,17,13:29 CWA929,,Peace River (YPE),CanWest Air BE20 (C-GLUP),Landed 13:28,2021-05-09
18,18,13:29 CWA929,,Peace River (YPE),CanWest Air BE20 (C-GLUP),Landed 00:15,2021-05-09
19,19,14:30 WO105,,Hamilton (YHM),Swoop B738 (C-FPLS),Landed 14:13,2021-05-09
20,20,14:48 CWA935,,Cold Lake (YOD),CanWest Air B350 (C-GLUD),Landed 14:27,2021-05-09
21,21,14:52 WO204,,Abbotsford (YXX),Swoop B738 (C-FLSF),Landed 14:37,2021-05-09
22,22,14:55,F8101,Vancouver (YVR),Flair Airlines B738 (C-FFLC),Landed 14:42,2021-05-09
