,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,04:42,,North Bay (YYB),- SW4 (C-FIOB),Landed 04:53,2021-05-09
1,1,09:11,AC442,Toronto (YYZ),Air Canada BCS3 (C-GTZH),Landed 08:59,2021-05-09
2,2,09:13,AC8971,Montreal (YUL),Air Canada Express CRJ9 (C-GOJZ),Landed 09:10,2021-05-09
3,3,14:09 AC8975,,Montreal (YUL),Air Canada Express DH8D (C-GJZX),Landed 13:47,2021-05-09
4,4,15:11,AC454,Toronto (YYZ),Air Canada BCS3 (C-GTZH),Landed 14:55,2021-05-09
5,5,15:19 WS610,,Calgary (YYC),WestJet B38M (C-FCTK),Landed 15:41,2021-05-09
6,6,18:30 W8470,,Iqaluit (YFB),Cargojet Airways B763 (C-FDIJ),Landed 17:28,2021-05-09
7,7,19:43,AC8983,Montreal (YUL),Air Canada Express CRJ9 (C-GLJZ),Landed 19:32,2021-05-09
8,8,20:25 5T106,,Iqaluit (YFB),Canadian North B734 (C-FFNE),Landed 19:59,2021-05-09
9,9,21:08,WS3478,Toronto (YYZ),WestJet DH8D (C-GVWE),Landed 20:45,2021-05-09
10,10,23:01,AC468,Toronto (YYZ),Air Canada BCS3 (C-GJYC),Landed 22:43,2021-05-09
0,0,00:10 FX152,,Memphis (MEM),FedEx A306 (N674FE),Landed 02:12,2021-05-10
1,1,07:43 TGO855,,Montreal (YUL),Department of Transport - Canada C550 (C-FKDX),Landed 07:36,2021-05-10
2,2,09:11,AC442,Toronto (YYZ),Air Canada BCS3 (C-GJXY),Landed 09:14,2021-05-10
3,3,09:13,AC8971,Montreal (YUL),Air Canada Express CRJ9 (C-GJAZ),Landed 09:02,2021-05-10
4,4,14:49 AC7048,,Calgary (YYC),Air Canada Jetz A319 (C-GBIA),Landed 14:40,2021-05-10
5,5,15:11 AC454,,Toronto (YYZ),Air Canada BCS3 (C-GJXY),Landed 14:56,2021-05-10
6,6,15:19 WS610,,Calgary (YYC),WestJet B38M (C-FCTK),Landed 15:31,2021-05-10
7,7,15:43 3H730,,Montreal (YUL),Air Inuit B733 (C-GFFN),Landed 15:34,2021-05-10
8,8,16:10,,Hamilton (YHM),- CRJ2 (C-GNVC),Landed 16:47,2021-05-10
9,9,18:30 W8470,,Iqaluit (YFB),Cargojet Airways B763 (C-FDIJ),Landed 17:22,2021-05-10
10,10,19:43,AC8983,Montreal (YUL),Air Canada Express CRJ9 (C-GOJZ),Landed 19:40,2021-05-10
11,11,20:25 5T106,,Iqaluit (YFB),Canadian North B734 (C-FFNE),Landed 20:12,2021-05-10
12,12,21:08,WS3478,Toronto (YYZ),WestJet DH8D (C-GENM),Landed 20:50,2021-05-10
13,13,23:01,AC468,Toronto (YYZ),Air Canada BCS3 (C-GMYU),Landed 22:45,2021-05-10
0,0,07:30 W8574,,Hamilton (YHM),Cargojet Airways 76Y,Unknown,2021-05-11
1,1,08:10 W81574,,Hamilton (YHM),Cargojet Airways B763 (C-FCAE),Landed 08:05,2021-05-11
2,2,08:21 FX152,,Montreal (YMX),FedEx A306 (N674FE),Landed 08:10,2021-05-11
3,3,09:11 AC442,,Toronto (YYZ),Air Canada A321 (C-GJVX),Landed 09:01,2021-05-11
4,4,09:13 AC8971,,Montreal (YUL),Air Canada Express CRJ9 (C-GLJZ),Landed 09:04,2021-05-11
5,5,14:09,AC8975,Montreal (YUL),Air Canada DH4,Unknown,2021-05-11
