,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:32 AM W8509,,Calgary (YYC),CargoJet Airways B763 (C-GCIJ),Landed 12:03 AM,2020-11-01
1,1,2:51 AM CRN711,,Prince George (YXS),Carson Air B350 (C-FKTE),Landed 1:23 AM,2020-11-01
2,2,3:45 AM SLQ7825,,Victoria (YYJ),SkyLink Express XXXX,Unknown,2020-11-01
3,3,4:52 AM AC7220,,Auckland (AKL),Air Canada B77W (C-FNNW),Landed 4:22 AM,2020-11-01
4,4,6:58 AM AC8254,,Nanaimo (YCD),Air Canada Express DH8D (C-GJZD),Landed 7:08 AM,2020-11-01
5,5,7:00 AM,AC45,Delhi (DEL),Air Canada B789 (C-FRSI),Landed 6:46 AM,2020-11-01
6,6,7:06 AM,AC233,Edmonton (YEG),Air Canada (Retro livery) A319 (C-FZUH),Landed 7:17 AM,2020-11-01
7,7,7:10 AM AC295,,Winnipeg (YWG),Air Canada A319 (C-GAQZ),Landed 7:07 AM,2020-11-01
8,8,7:15 AM,AC201,Calgary (YYC),Air Canada A320 (C-FXCD),Landed 7:09 AM,2020-11-01
9,9,7:15 AM,AC8577,Saskatoon (YXE),Air Canada Express CRJ9 (C-GJIZ),Landed 7:05 AM,2020-11-01
10,10,7:19 AM AC8176,,Fort St. John (YXJ),Air Canada Express DH8D (C-GJZH),Landed 6:54 AM,2020-11-01
11,11,7:20 AM QK50,,Victoria (YYJ),Air Canada Express DH8D (C-GJZF),Landed 7:25 AM,2020-11-01
12,12,7:29 AM,AC8202,Prince George (YXS),Air Canada Express DH8D (C-GJZN),Landed 7:11 AM,2020-11-01
13,13,7:30 AM AC8237,,Terrace (YXT),Air Canada Express DH8D (C-GSJZ),Landed 7:15 AM,2020-11-01
14,14,8:09 AM N599TM,,Seattle (BFI),Private owner BE40 (N599TM),Canceled,2020-11-01
15,15,8:11 AM WS3325,,Kelowna (YLW),WestJet DH8D (C-GWEN),Landed 7:49 AM,2020-11-01
16,16,8:35 AM WS171,,Edmonton (YEG),WestJet B737 (C-GYWJ),Landed 8:11 AM,2020-11-01
