,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:43 WS272,,Calgary (YYC),WestJet B737 (C-GWCN),Landed 00:39,2021-05-09
1,1,00:51 YP1216,,Island Lake (YIV),Perimeter Aviation SW4,Landed 00:52,2021-05-09
2,2,06:53 CNK301,,Calgary (YYC),Sunwest Aviation B190,Unknown,2021-05-09
3,3,08:45,F8312,Toronto (YYZ),Flair Airlines B738 (C-FFLJ),Landed 08:49,2021-05-09
4,4,09:01 WO147,,Hamilton (YHM),Swoop B738 (C-GDMP),Landed 08:42,2021-05-09
5,5,09:55,AC259,Toronto (YYZ),Air Canada A321 (C-GJWI),Landed 09:41,2021-05-09
6,6,10:35 WS475,,Toronto (YYZ),WestJet B737 (C-GVWJ),Landed 10:45,2021-05-09
7,7,10:40 YP9,,Island Lake (YIV),Perimeter Aviation SW3,Landed 10:28,2021-05-09
8,8,11:58,,Winnipeg (YWG),- SW3,Landed 14:29,2021-05-09
9,9,12:29 WS268,,Calgary (YYC),WestJet B737 (C-GWJG),Landed 12:39,2021-05-09
10,10,13:09 AC8544,,Vancouver (YVR),Air Canada Express CRJ9 (C-GNJZ),Landed 13:02,2021-05-09
11,11,13:20 YP7,,Island Lake (YIV),Perimeter Aviation SW3,Landed 13:21,2021-05-09
12,12,13:21,,Campbell River (YBL),- BE20,Unknown,2021-05-09
13,13,13:32 YP1010,,Gods Lake Narrows (YGO),Perimeter Aviation SW4,Canceled,2021-05-09
14,14,14:01 WO164,,Abbotsford (YXX),Swoop B738 (C-FLBV),Landed 13:44,2021-05-09
15,15,14:37,,Rankin Inlet (YRT),- B734,Landed 14:25,2021-05-09
16,16,15:00 AC7037,,Edmonton (YEG),Air Canada Jetz A319 (C-FYKR),Landed 14:57,2021-05-09
17,17,16:05,F8311,Vancouver (YVR),Flair Airlines B738 (C-FFLA),Landed 16:12,2021-05-09
18,18,16:55 MO241,,Sanikiluaq (YSK),Calm Air AT4,Unknown,2021-05-09
19,19,17:49 AC8546,,Vancouver (YVR),Air Canada Express CRJ9 (C-GJZS),Landed 17:50,2021-05-09
20,20,18:06 YP1200,,St. Theresa Point (YST),Perimeter Aviation DH8A,Landed 18:05,2021-05-09
21,21,18:30 MO307,,Rankin Inlet (YRT),Calm Air 732,Unknown,2021-05-09
22,22,18:30 5T157,,Rankin Inlet (YRT),Canadian North 732,Unknown,2021-05-09
23,23,20:30 YP7,,Oxford House (YOH),Perimeter Aviation SW3,Landed 20:30,2021-05-09
24,24,21:37 5T4153,,Rankin Inlet (YRT),Canadian North B734 (C-FFNF),Landed 21:36,2021-05-09
