,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 AC7047,,Winnipeg (YWG),Air Canada Jetz A319 (C-GBIA),Landed 22:27,2021-05-09
1,1,00:39 W8509,,Hamilton (YHM),Cargojet Airways B763 (C-GVIJ),Landed 00:22,2021-05-09
2,2,07:22,WS3178,Grande Prairie (YQU),WestJet DH8D (C-GWEN),Landed 07:09,2021-05-09
3,3,07:36,WS271,Winnipeg (YWG),WestJet B737 (C-GWCN),Landed 07:22,2021-05-09
4,4,08:13 WS3170,,Kelowna (YLW),WestJet DH8D (C-FWEP),Landed 08:08,2021-05-09
5,5,08:14 WS238,,Edmonton (YEG),WestJet B737 (C-GWAZ),Landed 08:12,2021-05-09
6,6,08:14 WS3129,,Regina (YQR),WestJet DH8D (C-FWEW),Landed 07:50,2021-05-09
7,7,08:22,WS100,Vancouver (YVR),WestJet B738 (C-FWIJ),Landed 08:06,2021-05-09
8,8,08:22 WS3289,,Saskatoon (YXE),WestJet DH8D (C-FUWE),Landed 07:56,2021-05-09
9,9,08:26 CNK302,,Winnipeg (YWG),Sunwest Aviation B190 (C-GHCS),Landed 08:31,2021-05-09
10,10,08:30,F8813,Waterloo (YKF),Flair Airlines B738 (C-FFLA),Landed 08:32,2021-05-09
11,11,08:39,WS3304,Nanaimo (YCD),WestJet DH8D (C-GVEN),Landed 08:23,2021-05-09
12,12,08:39,WS3148,Victoria (YYJ),WestJet DH8D (C-FQWE),Landed 08:23,2021-05-09
13,13,08:40 WS653,,Toronto (YYZ),WestJet B38M (C-GAMQ),Landed 08:14,2021-05-09
14,14,10:00 AC135,,Toronto (YYZ),Air Canada B788 (C-GHPV),Landed 09:45,2021-05-09
15,15,10:01,AC8370,Fort McMurray (YMM),Air Canada Express DH8D (C-GGMI),Landed 09:48,2021-05-09
16,16,10:02 AC8133,,Edmonton (YEG),Air Canada Express DH8D (C-GIJZ),Unknown,2021-05-09
17,17,10:25 AC319,,Montreal (YUL),Air Canada A321 (C-GIUF),Landed 10:12,2021-05-09
18,18,10:35 AC204,,Vancouver (YVR),Air Canada B38M (C-FSIP),Landed 10:28,2021-05-09
19,19,12:01 WS3003,,Lethbridge (YQL),WestJet Link SF34 (C-GPCI),Canceled,2021-05-09
20,20,12:14 WS655,,Toronto (YYZ),WestJet B737 (C-GCWJ),Landed 12:24,2021-05-09
