,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:18 AM WS676,,Calgary (YYC),WestJet B737 (C-FBWJ),Landed 1:02 AM,2020-10-04
1,1,12:28 AM WS720,,Vancouver (YVR),WestJet B737 (C-FLWJ),Landed 12:02 AM,2020-10-04
2,2,12:58 AM BFF102,,St. John's (YYT),Air Nunavut FA10 (C-GSXJ),Landed 12:59 AM,2020-10-04
3,3,5:20 AM KE284,,Chicago (ORD),Korean Air Cargo B748 (HL7609),Landed 8:39 AM,2020-10-04
4,4,5:30 AM KE286,,Atlanta (ATL),Korean Air 74N,Unknown,2020-10-04
5,5,5:54 AM AC7246,,Miami (MIA),Air Canada B789 (C-FKSV),Landed 5:41 AM,2020-10-04
6,6,6:03 AM WS724,,Vancouver (YVR),WestJet B737 (C-GWCN),Landed 5:37 AM,2020-10-04
7,7,6:08 AM AC158,,Calgary (YYC),Air Canada A319 (C-FYJI),Landed 6:46 AM,2020-10-04
8,8,6:11 AM AC176,,Edmonton (YEG),Air Canada BCS3 (C-GROV),Landed 5:52 AM,2020-10-04
9,9,6:49 AM AC128,,Vancouver (YVR),Air Canada B789 (C-FRSE),Landed 6:54 AM,2020-10-04
10,10,7:01 AM AC7485,,Deer Lake (YDF),Air Canada Express E75S (C-FEKI),Landed 7:04 AM,2020-10-04
11,11,7:03 AM AC8498,,Windsor (YQG),Air Canada Express (Jazz Livery) DH8C (C-FSOU),Landed 6:51 AM,2020-10-04
12,12,7:04 AM AC7505,,Ottawa (YOW),Air Canada E75,Unknown,2020-10-04
13,13,7:04 AM AC469,,Ottawa (YOW),Air Canada A320 (C-FKPT),Landed 6:56 AM,2020-10-04
14,14,7:06 AM AC7923,,Thunder Bay (YQT),Air Canada Express CRJ9 (C-FDJZ),Landed 7:02 AM,2020-10-04
15,15,7:09 AM AC7469,,Quebec (YQB),Air Canada Express E75S (C-FEIQ),Landed 6:52 AM,2020-10-04
16,16,7:15 AM AI187,,Delhi (DEL),Air India B77W (VT-ALR),Landed 9:56 AM,2020-10-04
17,17,7:15 AM AC481,,Montreal (YUL),Air Canada BCS3 (C-GJXY),Landed 7:16 AM,2020-10-04
18,18,7:15 AM AC8602,,Sudbury (YSB),Air Canada Express DH8C (C-FACF),Landed 7:11 AM,2020-10-04
19,19,7:15 AM AC8640,,London (YXU),Air Canada Express DH8D (C-GKUK),Landed 7:05 AM,2020-10-04
20,20,7:18 AM AC607,,Halifax (YHZ),Air Canada A320 (C-FZUB),Landed 7:14 AM,2020-10-04
21,21,7:25 AM MS995,,Cairo (CAI),EgyptAir B77W (SU-GDP),Landed 8:07 AM,2020-10-04
22,22,7:42 AM WS3457,,Ottawa (YOW),WestJet DH8D (C-GVEN),Landed 7:28 AM,2020-10-04
23,23,7:55 AM WS243,,Halifax (YHZ),WestJet B738 (C-FRWA),Canceled,2020-10-04
24,24,7:58 AM AC7649,,New York (EWR),Air Canada E75,Canceled,2020-10-04
25,25,7:59 AM AC441,,Ottawa (YOW),Air Canada A320 (C-FLSU),Landed 7:48 AM,2020-10-04
26,26,8:18 AM WS3513,,Montreal (YUL),WestJet DH8D (C-GJEN),Landed 8:10 AM,2020-10-04
27,27,8:20 AM DL7123,,St. John's (YYT),Delta Air Lines -,Canceled,2020-10-04
28,28,8:29 AM AC8827,,Montreal (YUL),Air Canada CR9,Unknown,2020-10-04
29,29,8:50 AM AC7489,,New York (LGA),Air Canada Express E75S (C-FRQN),Landed 8:28 AM,2020-10-04
30,30,9:15 AM AC403,,Montreal (YUL),Air Canada Jetz A319 (C-GBHN),Landed 8:58 AM,2020-10-04
31,31,10:05 AM TS892,,Montreal (YUL),Air Transat A321 (C-GEZD),Landed 10:04 AM,2020-10-04
32,32,10:36 AM AC7925,,Thunder Bay (YQT),Air Canada Express CRJ9 (C-FKJZ),Landed 10:31 AM,2020-10-04
33,33,10:59 AM AA3296,,Chicago (ORD),American Eagle CRJ7 (N708SK),Landed 11:26 AM,2020-10-04
34,34,11:04 AM,AC7713,Ottawa (YOW),Air Canada Express E75S (C-FRQK),Landed 10:58 AM,2020-10-04
35,35,12:18 PM,AC7651,New York (EWR),Air Canada Express E75S (C-FRQW),Landed 12:00 PM,2020-10-04
36,36,12:29 PM,AC262,Winnipeg (YWG),Air Canada A320 (C-GQCA),Landed 12:18 PM,2020-10-04
37,37,12:35 PM,AC873,Frankfurt (FRA),Air Canada B77W (C-FIVQ),Landed 12:25 PM,2020-10-04
38,38,12:45 PM AC8838,,Timmins (YTS),Air Canada Express DH8C (C-FACT),Landed 12:23 PM,2020-10-04
39,39,12:45 PM,AC7610,Chicago (ORD),Air Canada Express E75S (C-FEJY),Landed 12:23 PM,2020-10-04
40,40,12:45 PM,KL691,Amsterdam (AMS),KLM B78X (PH-BKD),Landed 12:30 PM,2020-10-04
41,41,12:50 PM,AC8606,Sudbury (YSB),Air Canada Express (Jazz Livery) DH8C (C-FSOU),Landed 12:33 PM,2020-10-04
42,42,12:51 PM,AC7927,Thunder Bay (YQT),Air Canada Express CRJ9 (C-GJIZ),Landed 12:36 PM,2020-10-04
43,43,12:51 PM,AC7944,Regina (YQR),Air Canada Express CRJ9 (C-FOJZ),Landed 12:41 PM,2020-10-04
44,44,1:02 PM,AC8913,Moncton (YQM),Air Canada Express CRJ9 (C-FBJZ),Landed 1:06 PM,2020-10-04
45,45,1:05 PM,AC162,Edmonton (YEG),Air Canada A321 (C-FJNX),Landed 1:20 PM,2020-10-04
46,46,1:05 PM,AC8620,Saskatoon (YXE),Air Canada Express CRJ9 (C-FJZL),Landed 1:03 PM,2020-10-04
47,47,1:08 PM,AC136,Calgary (YYC),Air Canada A321 (C-FGKP),Landed 12:55 PM,2020-10-04
48,48,1:12 PM,WS3469,Ottawa (YOW),WestJet DH8D (C-GWUE),Landed 1:07 PM,2020-10-04
49,49,1:15 PM,AC411,Montreal (YUL),Air Canada BCS3 (C-GJYA),Landed 1:02 PM,2020-10-04
50,50,1:20 PM,AC613,Halifax (YHZ),Air Canada BCS3 (C-GJXV),Landed 1:37 PM,2020-10-04
51,51,1:33 PM DL7064,,Montreal (YUL),Delta Air Lines -,Canceled,2020-10-04
52,52,1:45 PM BW79,,Kingston (KIN),Caribbean Airlines B738 (9Y-JMF),Landed 1:26 PM,2020-10-04
53,53,1:45 PM WS658,,Calgary (YYC),WestJet B738 (C-GWRG),Landed 1:24 PM,2020-10-04
54,54,2:24 PM WS273,,Halifax (YHZ),WestJet B738 (C-FWIJ),Landed 2:20 PM,2020-10-04
55,55,2:25 PM MU207,,Shanghai (PVG),China Eastern Airlines B77W (B-7349),Landed 1:55 PM,2020-10-04
56,56,2:28 PM AC7231,,Madrid (MAD),Air Canada A333 (C-GEGC),Landed 2:27 PM,2020-10-04
57,57,2:30 PM EY141,,Abu Dhabi (AUH),Etihad (ADNOC - Choose Italy Livery) B789 (A6-BLH),Landed 2:09 PM,2020-10-04
58,58,2:44 PM DL7198,,Moncton (YQM),Delta Air Lines -,Canceled,2020-10-04
59,59,2:47 PM WS3405,,Fredericton (YFC),WestJet DH8D (C-FOEN),Landed 2:35 PM,2020-10-04
60,60,2:50 PM WS306,,Winnipeg (YWG),WestJet B736 (C-GWSK),Landed 2:35 PM,2020-10-04
61,61,2:53 PM AA2942,,Charlotte (CLT),American Airlines A319 (N758US),Landed 2:38 PM,2020-10-04
62,62,3:05 PM EK241,,Dubai (DXB),Emirates B77W (A6-EGC),Landed 3:01 PM,2020-10-04
63,63,3:05 PM F8512,,Saskatoon (YXE),Flair Airlines B738 (C-FFLA),Landed 2:41 PM,2020-10-04
64,64,3:08 PM AC794,,Los Angeles (LAX),Air Canada B788 (C-GHPQ),Landed 3:21 PM,2020-10-04
65,65,3:15 PM AC415,,Montreal (YUL),Air Canada A320 (C-FPWD),Landed 3:11 PM,2020-10-04
66,66,3:18 PM AC106,,Vancouver (YVR),Air Canada B77W (C-FIVS),Landed 3:17 PM,2020-10-04
67,67,3:28 PM DL4662,,Detroit (DTW),Delta Connection CRJ9 (N916XJ),Landed 3:15 PM,2020-10-04
68,68,4:00 PM AC879,,Zurich (ZRH),Air Canada B789 (C-FVNB),Landed 3:52 PM,2020-10-04
69,69,4:00 PM WS662,,Calgary (YYC),Westjet B789 (C-GMKS),Landed 3:43 PM,2020-10-04
70,70,4:12 PM WS3473,,Ottawa (YOW),WestJet DH8D (C-GVEN),Landed 3:59 PM,2020-10-04
71,71,4:15 PM AC821,,Athens (ATH),Air Canada B788 (C-GHPU),Landed 4:19 PM,2020-10-04
72,72,4:15 PM AF356,,Paris (CDG),Air France B77W (F-GSQG),Landed 4:04 PM,2020-10-04
73,73,4:19 PM AC108,,Vancouver (YVR),Air Canada B788 (C-GHQQ),Landed 3:55 PM,2020-10-04
74,74,4:25 PM LH470,,Frankfurt (FRA),Lufthansa A333 (D-AIKK),Landed 4:17 PM,2020-10-04
75,75,4:30 PM WS3516,,London (YXU),WestJet DH8D (C-GWUE),Landed 4:07 PM,2020-10-04
76,76,4:30 PM WS3529,,Montreal (YUL),WestJet DH8D (C-GJEN),Landed 4:15 PM,2020-10-04
77,77,4:31 PM WS706,,Vancouver (YVR),WestJet B738 (C-FWJS),Landed 4:16 PM,2020-10-04
78,78,4:38 PM AC693,,St. John's (YYT),Air Canada BCS3 (C-GJXY),Landed 4:42 PM,2020-10-04
