,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,7:20 AM OU631,,Zadar (ZAD),Croatia Airlines DH8D (9A-CQE),Landed 7:26 AM,2020-10-31
1,1,7:30 AM OU651,,Split (SPU),Croatia Airlines DH8D (9A-CQB),Landed 7:30 AM,2020-10-31
2,2,7:30 AM OU661,,Dubrovnik (DBV),Croatia Airlines DH8D (9A-CQA),Landed 7:33 AM,2020-10-31
3,3,11:00 AM,OU417,Frankfurt (FRA),Croatia Airlines DH8D (9A-CQF),Landed 11:07 AM,2020-10-31
4,4,11:45 AM,AF1560,Paris (CDG),Air France E190 (F-HBLH),Landed 11:44 AM,2020-10-31
5,5,12:25 PM,LH1726,Munich (MUC),Lufthansa CRJ9 (D-ACNX),Landed 12:25 PM,2020-10-31
6,6,1:40 PM,OU451,Amsterdam (AMS),Croatia Airlines DH8D (9A-CQB),Landed 2:01 PM,2020-10-31
7,7,1:40 PM,OU481,Copenhagen (CPH),Croatia Airlines DH8D (9A-CQE),Landed 1:23 PM,2020-10-31
8,8,2:20 PM,OU471,Paris (CDG),Croatia Airlines (Star Alliance Livery) A319 (9A-CTI),Landed 1:56 PM,2020-10-31
9,9,2:35 PM,KL1943,Amsterdam (AMS),KLM E190 (PH-EZW),Landed 2:24 PM,2020-10-31
10,10,4:40 PM,BA848,London (LHR),British Airways A320 (G-EUUR),Landed 4:26 PM,2020-10-31
11,11,5:15 PM OU655,,Split (SPU),Croatia Airlines DH8D (9A-CQF),Landed 4:54 PM,2020-10-31
12,12,5:15 PM,OU665,Dubrovnik (DBV),Croatia Airlines DH8D (9A-CQB),Landed 5:11 PM,2020-10-31
13,13,5:20 PM,LO613,Warsaw (WAW),LOT E170 (SP-LDE),Landed 5:00 PM,2020-10-31
14,14,7:25 PM,OU411,Frankfurt (FRA),Croatia Airlines DH8D (9A-CQC),Landed 7:19 PM,2020-10-31
15,15,10:20 PM,OU415,Frankfurt (FRA),Croatia Airlines DH8D (9A-CQF),Landed 10:15 PM,2020-10-31
0,0,7:30 AM,OU651,Split (SPU),Croatia Airlines A319 (9A-CTL),Landed 7:19 AM,2020-11-01
1,1,7:30 AM,OU661,Dubrovnik (DBV),Croatia Airlines DH8D (9A-CQC),Landed 7:41 AM,2020-11-01
2,2,7:40 AM,TK1053,Istanbul (IST),Turkish Airlines A321 (TC-JSM),Landed 7:36 AM,2020-11-01
3,3,11:00 AM,OU417,Frankfurt (FRA),Croatia Airlines DH8D (9A-CQF),Landed 10:53 AM,2020-11-01
4,4,11:45 AM,AF1560,Paris (CDG),Air France E190 (F-HBLJ),Landed 11:37 AM,2020-11-01
5,5,12:25 PM,LH1726,Munich (MUC),Lufthansa CRJ9 (D-ACKG),Landed 12:18 PM,2020-11-01
6,6,12:45 PM 7W765,,Kyiv (KBP),Windrose Airlines E145 (UR-DNT),Landed 11:48 AM,2020-11-01
7,7,1:15 PM,OU655,Split (SPU),Croatia Airlines DH8D (9A-CQE),Landed 12:54 PM,2020-11-01
8,8,1:35 PM,OU409,Frankfurt (FRA),Croatia Airlines DH8D (9A-CQC),Landed 1:34 PM,2020-11-01
9,9,1:40 PM,OU451,Amsterdam (AMS),Croatia Airlines DH8D (9A-CQB),Landed 1:52 PM,2020-11-01
10,10,1:40 PM,OU481,Copenhagen (CPH),Croatia Airlines DH8D (9A-CQA),Landed 1:30 PM,2020-11-01
11,11,2:20 PM,OU471,Paris (CDG),Croatia Airlines (Star Alliance Livery) A319 (9A-CTI),Landed 2:02 PM,2020-11-01
12,12,4:40 PM,LH1728,Munich (MUC),Lufthansa CR9,Scheduled,2020-11-01
13,13,5:00 PM,KL1943,Amsterdam (AMS),KLM B737 (PH-BGX),Scheduled,2020-11-01
14,14,5:10 PM,OU673,Pula (PUY),Croatia Airlines DH4,Scheduled,2020-11-01
15,15,5:20 PM,OU665,Dubrovnik (DBV),Croatia Airlines 319,Scheduled,2020-11-01
16,16,5:35 PM,BA848,London (LHR),British Airways A320 (G-EUYL),Scheduled,2020-11-01
17,17,7:30 PM EW2976,,Stuttgart (STR),Eurowings 319,Scheduled,2020-11-01
18,18,8:30 PM OU663,,Dubrovnik (DBV),Croatia Airlines DH4,Scheduled,2020-11-01
19,19,8:35 PM,OU465,Zurich (ZRH),Croatia Airlines DH8D (9A-CQC),Scheduled,2020-11-01
20,20,10:25 PM,OU415,Frankfurt (FRA),Croatia Airlines DH4,Scheduled,2020-11-01
