,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,6:10 AM LX289,,Johannesburg (JNB),Swiss B77W (HB-JND),Landed 6:07 AM,2020-10-03
1,1,6:10 AM,LX139,Hong Kong (HKG),Swiss B77W (HB-JNF),Landed 6:04 AM,2020-10-03
2,2,6:10 AM,LX181,Bangkok (BKK),Swiss B77W (HB-JNL),Landed 6:10 AM,2020-10-03
3,3,6:15 AM,AC878,Toronto (YYZ),Air Canada B789 (C-FNOG),Landed 6:19 AM,2020-10-03
4,4,8:05 AM,UA52,Washington (IAD),United Airlines B788 (N26909),Landed 7:52 AM,2020-10-03
5,5,8:10 AM EW9762,,Dusseldorf (DUS),Eurowings A320 (D-AIZV),Landed 7:49 AM,2020-10-03
6,6,8:10 AM,LH2366,Munich (MUC),Lufthansa CRJ9 (D-ACNF),Landed 8:08 AM,2020-10-03
7,7,8:25 AM,LH1186,Frankfurt (FRA),Lufthansa CRJ9 (D-ACNE),Landed 8:32 AM,2020-10-03
8,8,8:30 AM XC8033,,Antalya (AYT),Corendon Airlines (Detur Livery) B738 (TC-TJJ),Landed 8:27 AM,2020-10-03
9,9,9:05 AM TK6381,,Liege (LGG),Turkish Cargo A332 (TC-JOU),Unknown,2020-10-03
10,10,9:10 AM,JU370,Belgrade (BEG),AirSERBIA A319 (YU-API),Landed 8:57 AM,2020-10-03
11,11,9:10 AM,OS561,Vienna (VIE),Austrian Airlines E195 (OE-LWJ),Landed 8:45 AM,2020-10-03
12,12,9:35 AM XQ960,,Izmir (ADB),SunExpress (Shaun das Schaf - UFO-Alarm Livery) B738 (TC-SNU),Landed 9:10 AM,2020-10-03
13,13,9:40 AM,TK1907,Istanbul (IST),Turkish Airlines A21N (TC-LSO),Landed 9:39 AM,2020-10-03
14,14,9:45 AM,LO411,Warsaw (WAW),LOT E190 (SP-LMC),Landed 9:36 AM,2020-10-03
15,15,10:15 AM,AZ572,Rome (FCO),Alitalia E75S (EI-RDC),Landed 9:53 AM,2020-10-03
16,16,10:20 AM,LX87,Montreal (YUL),Swiss A343 (HB-JMH),Landed 9:33 AM,2020-10-03
17,17,10:20 AM,A3850,Athens (ATH),Aegean Airlines A320 (SX-DNE),Landed 9:56 AM,2020-10-03
18,18,10:25 AM,KM490,Luqa (MLA),Air Malta A320 (9H-AHS),Landed 10:03 AM,2020-10-03
19,19,10:30 AM,LX93,Sao Paulo (GRU),Swiss B77W (HB-JNE),Landed 11:05 AM,2020-10-03
20,20,10:30 AM,LX15,New York (JFK),Swiss B77W (HB-JNC),Landed 9:15 AM,2020-10-03
21,21,10:35 AM,LX1069,Frankfurt (FRA),Helvetic Airways E290 (HB-AZD),Landed 10:59 AM,2020-10-03
22,22,10:40 AM AA9716,,Philadelphia (PHL),American Airlines B788 (N811AB),Landed 9:59 AM,2020-10-03
23,23,10:40 AM,LX55,Boston (BOS),Swiss A343 (HB-JMC),Landed 9:41 AM,2020-10-03
24,24,10:45 AM,OU460,Zagreb (ZAG),Croatia Airlines DH8D (9A-CQC),Landed 11:10 AM,2020-10-03
25,25,10:45 AM XQ220,,Antalya (AYT),SunExpress B738 (TC-SNZ),Landed 10:25 AM,2020-10-03
26,26,10:50 AM,LX9,Chicago (ORD),Swiss A333 (HB-JHL),Landed 10:08 AM,2020-10-03
27,27,11:00 AM,WK399,Catania (CTA),Edelweiss Air A320 (HB-JJN),Landed 10:43 AM,2020-10-03
28,28,11:05 AM,IB3464,Madrid (MAD),Iberia A20N (EC-NDN),Landed 10:31 AM,2020-10-03
29,29,11:05 AM,KL1957,Amsterdam (AMS),KLM B738 (PH-BXD),Landed 11:07 AM,2020-10-03
30,30,11:10 AM,LX633,Paris (CDG),Swiss A320 (HB-IJE),Landed 11:19 AM,2020-10-03
31,31,11:15 AM,LX563,Nice (NCE),Swiss BCS1 (HB-JBE),Landed 10:57 AM,2020-10-03
32,32,11:15 AM,LX2807,Geneva (GVA),Swiss BCS3 (HB-JCE),Landed 11:03 AM,2020-10-03
33,33,11:20 AM,LX725,Amsterdam (AMS),Swiss BCS1 (HB-JBF),Landed 11:15 AM,2020-10-03
34,34,11:20 AM,LX1727,Rome (FCO),Swiss BCS3 (HB-JCM),Landed 10:54 AM,2020-10-03
35,35,11:25 AM LX1051,,Hamburg (HAM),Swiss A321 (HB-IOO),Landed 11:39 AM,2020-10-03
36,36,11:25 AM LX1485,,Prague (PRG),Helvetic Airways E290 (HB-AZE),Landed 11:18 AM,2020-10-03
37,37,11:30 AM LX1575,,Vienna (VIE),Helvetic Airways E190 (HB-JVS),Landed 11:11 AM,2020-10-03
38,38,11:30 AM LX2571,,Sylt (GWT),Swiss BCS3 (HB-JCG),Landed 11:30 AM,2020-10-03
39,39,11:40 AM LX19,,New York (EWR),Swiss A343 (HB-JMB),Landed 10:52 AM,2020-10-03
40,40,11:40 AM LX1017,,Dusseldorf (DUS),Helvetic Airways E290 (HB-AZB),Landed 11:59 AM,2020-10-03
41,41,11:40 AM LX1413,,Belgrade (BEG),Swiss A321 (HB-ION),Landed 11:32 AM,2020-10-03
42,42,11:45 AM LX317,,London (LHR),Swiss BCS1 (HB-JBG),Landed 11:47 AM,2020-10-03
43,43,11:45 AM LX975,,Berlin (TXL),Swiss A320 (HB-JLS),Landed 11:34 AM,2020-10-03
44,44,11:50 AM LX391,,Manchester (MAN),Swiss BCS1 (HB-JBD),Landed 11:42 AM,2020-10-03
45,45,11:50 AM LX1267,,Copenhagen (CPH),Swiss BCS1 (HB-JBA),Landed 11:41 AM,2020-10-03
46,46,11:55 AM WK403,,Pristina (PRN),Edelweiss Air A320 (HB-IJV),Landed 11:36 AM,2020-10-03
47,47,12:00 PM LX1223,,Gothenburg (GOT),Swiss BCS1 (HB-JBB),Canceled,2020-10-03
48,48,12:00 PM LX1249,,Stockholm (ARN),Swiss A320 (HB-IJI),Landed 12:07 PM,2020-10-03
49,49,12:00 PM WK385,,Lamezia Terme (SUF),Edelweiss Air A320 (HB-IJW),Landed 11:44 AM,2020-10-03
50,50,12:05 PM LX2063,,Porto (OPO),Swiss BCS3 (HB-JCL),Landed 12:00 PM,2020-10-03
51,51,12:05 PM TK6381,,Minsk (MSQ),Turkish Airlines 33X,Unknown,2020-10-03
52,52,12:10 PM TU874,,Geneva (GVA),Tunisair 736,Unknown,2020-10-03
53,53,12:10 PM TU875,,Geneva (GVA),Tunisair B736 (TS-IOK),Landed 12:10 PM,2020-10-03
54,54,12:20 PM BA712,,London (LHR),British Airways B788 (G-ZBJM),Landed 12:03 PM,2020-10-03
55,55,12:20 PM LX977,,Berlin (TXL),Swiss A321 (HB-IOC),Landed 12:24 PM,2020-10-03
56,56,12:30 PM,LX1831,Athens (ATH),Swiss A20N (HB-JDB),Landed 12:50 PM,2020-10-03
57,57,12:40 PM,EY73,Abu Dhabi (AUH),Etihad (ADNOC - Choose China Livery) B789 (A6-BLF),Landed 12:23 PM,2020-10-03
58,58,1:05 PM FI568,,Reykjavik (KEF),Icelandair B752 (TF-ISD),Canceled,2020-10-03
59,59,1:05 PM,WK195,Bodrum (BJV),Edelweiss Air A320 (HB-JJL),Landed 12:55 PM,2020-10-03
60,60,1:20 PM,EK87,Dubai (DXB),Emirates B77W (A6-ENE),Landed 1:15 PM,2020-10-03
61,61,1:20 PM LX2511,,Palermo (PMO),Swiss A320 (HB-IJD),Landed 1:11 PM,2020-10-03
62,62,1:20 PM PC947,,Istanbul (SAW),Pegasus Airlines A20N (TC-NCD),Landed 1:07 PM,2020-10-03
63,63,1:25 PM,TP932,Lisbon (LIS),TAP Air Portugal A320 (CS-TNV),Landed 1:09 PM,2020-10-03
64,64,1:30 PM,QR95,Doha (DOH),Qatar Airways A359 (A7-ALX),Landed 1:12 PM,2020-10-03
65,65,1:35 PM,WK355,Mykonos (JMK),Edelweiss Air A320 (HB-IHX),Landed 1:23 PM,2020-10-03
66,66,1:55 PM,LH1190,Frankfurt (FRA),Lufthansa CRJ9 (D-ACKF),Landed 1:52 PM,2020-10-03
67,67,1:55 PM TU700,,Geneva (GVA),Tunisair 320,Unknown,2020-10-03
68,68,1:55 PM TU701,,Geneva (GVA),Tunisair A320 (TS-IMS),Landed 2:01 PM,2020-10-03
69,69,2:10 PM,WK177,Antalya (AYT),Edelweiss Air A343 (HB-JMD),Landed 1:50 PM,2020-10-03
70,70,2:30 PM,JU372,Belgrade (BEG),AirSERBIA A319 (YU-APF),Landed 2:11 PM,2020-10-03
71,71,2:55 PM,WK351,Heraklion (HER),Edelweiss Air A333 (HB-JHQ),Landed 2:54 PM,2020-10-03
72,72,3:00 PM,WK285,Funchal (FNC),Edelweiss Air A320 (HB-IHY),Landed 2:47 PM,2020-10-03
73,73,3:10 PM GM3445,,Larnaca (LCA),Chair Airlines 319,Unknown,2020-10-03
74,74,3:10 PM,WK371,Larnaca (LCA),Edelweiss Air A320 (HB-IHZ),Landed 2:52 PM,2020-10-03
75,75,3:35 PM,LX161,Tokyo (NRT),Swiss B77W (HB-JNG),Landed 3:12 PM,2020-10-03
76,76,3:45 PM,LX2087,Lisbon (LIS),Swiss BCS1 (HB-JBH),Landed 3:37 PM,2020-10-03
77,77,4:00 PM,WK135,Hurghada (HRG),Edelweiss Air A320 (HB-JJK),Landed 4:17 PM,2020-10-03
78,78,4:00 PM,WK135,Hurghada (HRG),Edelweiss Air A320 (HB-IJU),Landed 3:42 PM,2020-10-03
79,79,4:00 PM,WK215,Tenerife (TFS),Edelweiss Air 320,Canceled,2020-10-03
80,80,4:05 PM,LX1663,Venice (VCE),Swiss BCS3 (HB-JCC),Landed 4:01 PM,2020-10-03
81,81,4:05 PM,LX2811,Geneva (GVA),Swiss BCS1 (HB-JBI),Landed 3:59 PM,2020-10-03
82,82,4:10 PM VY8348,,Palma de Mallorca (PMI),Vueling A320 (EC-MFL),Landed 3:32 PM,2020-10-03
83,83,4:15 PM,LX1579,Vienna (VIE),Swiss BCS1 (HB-JBD),Landed 4:05 PM,2020-10-03
84,84,4:25 PM,LH2370,Munich (MUC),Lufthansa CRJ9 (D-ACNK),Landed 4:10 PM,2020-10-03
85,85,4:35 PM,LX967,Berlin (TXL),Swiss BCS3 (HB-JCT),Landed 4:30 PM,2020-10-03
86,86,4:35 PM,LX1057,Hamburg (HAM),Swiss BCS3 (HB-JCJ),Landed 4:46 PM,2020-10-03
87,87,4:45 PM,KL1961,Amsterdam (AMS),KLM B737 (PH-BGM),Landed 4:30 PM,2020-10-03
88,88,5:00 PM,LX1271,Copenhagen (CPH),Swiss 221,Unknown,2020-10-03
89,89,5:00 PM LX1417,,Belgrade (BEG),Swiss A321 (HB-IOM),Landed 4:57 PM,2020-10-03
90,90,5:05 PM XQ122,,Antalya (AYT),SunExpress B738 (TC-SEZ),Landed 5:01 PM,2020-10-03
91,91,5:20 PM A3448,,Heraklion (HER),Aegean Airlines A321 (SX-DNH),Landed 4:55 PM,2020-10-03
92,92,5:25 PM,LX1349,Warsaw (WAW),Swiss BCS3 (HB-JCM),Landed 5:08 PM,2020-10-03
93,93,5:30 PM LX1711,,Naples (NAP),Swiss A321 (HB-ION),Landed 5:12 PM,2020-10-03
94,94,5:30 PM XQ120,,Antalya (AYT),SunExpress B738 (TC-SEK),Landed 5:19 PM,2020-10-03
95,95,5:35 PM LX1955,,Barcelona (BCN),Swiss BCS3 (HB-JCK),Landed 5:22 PM,2020-10-03
96,96,5:45 PM LX2151,,Palma de Mallorca (PMI),Swiss BCS3 (HB-JCR),Landed 5:28 PM,2020-10-03
97,97,6:00 PM,TP924,Porto (OPO),TAP Air Portugal A319 (CS-TTL),Landed 5:42 PM,2020-10-03
98,98,6:10 PM A3482,,Rhodes (RHO),Aegean Airlines A320 (SX-DVY),Landed 6:00 PM,2020-10-03
99,99,6:10 PM,WK321,Corfu (CFU),Edelweiss Air A320 (HB-IJW),Landed 5:56 PM,2020-10-03
100,100,6:20 PM LX1721,,Brindisi (BDS),Swiss A321 (HB-IOO),Landed 6:14 PM,2020-10-03
101,101,6:20 PM LX2513,,Palermo (PMO),Swiss A321 (HB-IOC),Landed 6:25 PM,2020-10-03
102,102,6:20 PM,AY1513,Helsinki (HEL),Finnair E190 (OH-LKL),Landed 6:11 PM,2020-10-03
103,103,6:25 PM LX2143,,Valencia (VLC),Swiss BCS3 (HB-JCE),Landed 6:15 PM,2020-10-03
104,104,6:25 PM,TK1909,Istanbul (IST),Turkish Airlines A21N (TC-LSA),Landed 6:02 PM,2020-10-03
105,105,6:25 PM,WK299,Faro (FAO),Edelweiss Air A320 (HB-JJN),Landed 6:08 PM,2020-10-03
